Taxon	S27499.01	S27499.02	S27499.03	S27499.04	S27499.05	S27499.06	S27499.07	S27499.08	S27499.09	S27499.10	S27499.11	S27499.12	S27499.13	S27499.14	S27499.15	S27499.16	S27499.17	S27499.18	S27499.19	S27499.20	S27499.21	S27499.22	S27499.23	S27499.24	S27499.25	S27499.26	S27499.27	S27499.28	S27499.29	S27499.30	S27499.31	S27499.32	S27499.33	S27499.34	S27499.35	S27499.36	S27499.37	S27499.38	S27499.39	S27499.40	S27499.41	S28297.01	S28297.02	S28297.03	S28297.04	S28297.05	S28297.06	S28297.07	S28297.08	S28297.09	S28297.10	S28297.11	S29419.01	S29419.02	S29419.03	S29419.04	S29419.05	S29419.06	S29419.07	S29419.08	S29419.09	S29419.10	S29419.11	S30119.01	S30119.02	S30119.03	S30119.04	S30119.05	S30119.06	S30119.07
k__Archaea;p__Euryarchaeota;c__Methanobacteria	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	4.0	191.0	43.0	89.0	2.0	0.0	3.0	81.0	2.0	0.0	83.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	109.0	0.0	33.0	0.0	1.0	44.0	0.0	2.0	0.0	0.0	0.0	211.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	624.0	99.0	132.0	485.0	393.0	474.0	476.0	329.0	196.0	302.0	75.0	72.0	276.0	617.0	1371.0	293.0	796.0	611.0	399.0	449.0	875.0	820.0	35.0	704.0	389.0	131.0	213.0	179.0	156.0	1333.0	303.0	455.0	221.0	283.0	391.0	322.0	214.0	203.0	232.0	377.0	326.0	49.0	333.0	127.0	384.0	1322.0	15.0	119.0	128.0	379.0	253.0	685.0	103.0	352.0	731.0	221.0	36.0	313.0	112.0	32.0	7.0	247.0	37.0	396.0	1760.0	79.0	232.0	547.0	168.0	464.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	4341.0	2412.0	5944.0	5387.0	6307.0	5365.0	3654.0	2857.0	3899.0	3765.0	3642.0	3852.0	2065.0	3081.0	1618.0	3715.0	2388.0	5276.0	5320.0	4547.0	2829.0	3669.0	7006.0	1032.0	1995.0	5263.0	4465.0	3324.0	3404.0	4703.0	3359.0	3640.0	4088.0	4052.0	5104.0	1000.0	3784.0	2737.0	5400.0	3518.0	3296.0	2708.0	2743.0	5392.0	4198.0	888.0	5177.0	1978.0	4756.0	6403.0	4736.0	2408.0	2905.0	2797.0	3731.0	4267.0	4611.0	1620.0	2707.0	4177.0	4645.0	4049.0	6151.0	2410.0	2540.0	3663.0	3170.0	2951.0	4404.0	3268.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteria	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	38.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	518.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	185.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__unassigned	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	5.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	6.0	0.0	1.0	0.0	0.0
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli	20.0	207.0	53.0	1188.0	38.0	228.0	1751.0	1039.0	2041.0	306.0	260.0	1614.0	88.0	54.0	361.0	43.0	57.0	88.0	14.0	273.0	65.0	378.0	22.0	42.0	659.0	185.0	295.0	941.0	67.0	84.0	51.0	866.0	1384.0	605.0	126.0	2223.0	41.0	98.0	86.0	158.0	166.0	1383.0	1355.0	95.0	210.0	184.0	31.0	4995.0	892.0	42.0	203.0	725.0	37.0	465.0	599.0	186.0	279.0	851.0	9.0	389.0	23.0	91.0	45.0	490.0	271.0	364.0	142.0	582.0	1153.0	112.0
k__Bacteria;p__Firmicutes;c__Clostridia	3159.0	3207.0	2623.0	2078.0	2528.0	1412.0	2047.0	3291.0	2680.0	3529.0	2749.0	3278.0	4096.0	4971.0	4890.0	4346.0	5450.0	3297.0	2798.0	3355.0	4470.0	3808.0	775.0	3099.0	3745.0	3515.0	1938.0	2269.0	816.0	2855.0	5417.0	4211.0	2848.0	2927.0	3477.0	1187.0	3886.0	3747.0	3231.0	2238.0	1845.0	2288.0	1636.0	1828.0	842.0	6018.0	3239.0	2162.0	3266.0	2618.0	2519.0	4978.0	3572.0	4855.0	3685.0	4306.0	1885.0	3067.0	3563.0	4361.0	893.0	3370.0	2900.0	2597.0	2860.0	5274.0	4343.0	3274.0	1622.0	1715.0
