Taxon	S27499.01	S27499.02	S27499.03	S27499.04	S27499.05	S27499.06	S27499.07	S27499.08	S27499.09	S27499.10	S27499.11	S27499.12	S27499.13	S27499.14	S27499.15	S27499.16	S27499.17	S27499.18	S27499.19	S27499.20	S27499.21	S27499.22	S27499.23	S27499.24	S27499.25	S27499.26	S27499.27	S27499.28	S27499.29	S27499.30	S27499.31	S27499.32	S27499.33	S27499.34	S27499.35	S27499.36	S27499.37	S27499.38	S27499.39	S27499.40	S27499.41	S28297.01	S28297.02	S28297.03	S28297.04	S28297.05	S28297.06	S28297.07	S28297.08	S28297.09	S28297.10	S28297.11	S29419.01	S29419.02	S29419.03	S29419.04	S29419.05	S29419.06	S29419.07	S29419.08	S29419.09	S29419.10	S29419.11	S30119.01	S30119.02	S30119.03	S30119.04	S30119.05	S30119.06	S30119.07
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	4.0	191.0	43.0	89.0	2.0	0.0	3.0	81.0	2.0	0.0	83.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	109.0	0.0	33.0	0.0	1.0	44.0	0.0	2.0	0.0	0.0	0.0	211.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	9.0	26.0	9.0	19.0	1.0	2.0	3.0	7.0	11.0	6.0	5.0	24.0	1.0	16.0	1.0	0.0	10.0	0.0	6.0	5.0	2.0	1.0	6.0	21.0	79.0	37.0	6.0	12.0	17.0	8.0	1.0	25.0	9.0	21.0	6.0	33.0	1.0	2.0	6.0	4.0	4.0	1.0	13.0	1.0	4.0	2.0	6.0	27.0	15.0	3.0	2.0	2.0	2.0	14.0	9.0	2.0	1.0	6.0	4.0	21.0	2.0	2.0	1.0	5.0	2.0	33.0	31.0	5.0	8.0	13.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	404.0	13.0	103.0	451.0	235.0	216.0	420.0	299.0	125.0	167.0	44.0	20.0	145.0	383.0	741.0	25.0	489.0	580.0	90.0	340.0	739.0	516.0	0.0	83.0	280.0	46.0	48.0	63.0	123.0	1317.0	242.0	301.0	123.0	144.0	23.0	59.0	20.0	4.0	39.0	127.0	141.0	14.0	222.0	48.0	343.0	943.0	2.0	59.0	69.0	256.0	185.0	513.0	35.0	12.0	535.0	144.0	1.0	66.0	60.0	0.0	2.0	234.0	24.0	226.0	1298.0	5.0	191.0	369.0	2.0	365.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales	211.0	60.0	20.0	15.0	157.0	256.0	53.0	23.0	60.0	129.0	26.0	28.0	130.0	218.0	629.0	268.0	297.0	31.0	303.0	104.0	134.0	303.0	29.0	600.0	30.0	48.0	159.0	104.0	16.0	8.0	60.0	129.0	89.0	118.0	362.0	230.0	193.0	197.0	187.0	246.0	181.0	34.0	98.0	78.0	37.0	377.0	7.0	33.0	44.0	120.0	66.0	170.0	66.0	326.0	187.0	75.0	34.0	241.0	48.0	11.0	3.0	11.0	12.0	165.0	460.0	41.0	10.0	173.0	158.0	86.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	4341.0	2412.0	5944.0	5387.0	6307.0	5365.0	3654.0	2857.0	3899.0	3765.0	3642.0	3852.0	2065.0	3081.0	1618.0	3715.0	2388.0	5276.0	5320.0	4547.0	2829.0	3669.0	7006.0	1032.0	1995.0	5263.0	4465.0	3324.0	3404.0	4703.0	3359.0	3640.0	4088.0	4052.0	5104.0	1000.0	3784.0	2737.0	5400.0	3518.0	3296.0	2708.0	2743.0	5392.0	4198.0	888.0	5177.0	1978.0	4756.0	6403.0	4736.0	2408.0	2905.0	2797.0	3731.0	4267.0	4611.0	1620.0	2707.0	4177.0	4645.0	4049.0	6151.0	2410.0	2540.0	3663.0	3170.0	2951.0	4404.0	3268.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	38.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	518.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	185.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__unassigned;o__unassigned	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	5.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	6.0	0.0	1.0	0.0	0.0
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
