Taxon	SRR5367462	SRR5367463	SRR5367464	SRR5367465	SRR5367466	SRR5367467	SRR5367468	SRR5367469	SRR5367470	SRR5367471	SRR5367472	SRR5367473	SRR5367474	SRR5367475	SRR5367476	SRR5367477	SRR5367478	SRR5367479	SRR5367480	SRR5367481	SRR5367482	SRR5367483	SRR5367484	SRR5367485	SRR5367486	SRR5367487	SRR5367488	SRR5367489	SRR5367490	SRR5367491	SRR5367492	SRR5367493	SRR5367494	SRR5367495	SRR5367496	SRR5367497	SRR5367498	SRR5367499	SRR5367500	SRR5367501	SRR5367502.R1	SRR5367503.R1	SRR5367504.R1	SRR5367505.R1	SRR5367506.R1	SRR5367507.R1	SRR5367508.R1	SRR5367509.R1	SRR5367510.R1	SRR5367511.R1	SRR5367512.R1	SRR5367513.R1	SRR5367514.R1	SRR5367515.R1	SRR5367516.R1	SRR5367517.R1	SRR5367518.R1	SRR5367519.R1	SRR5367520.R1	SRR5367521.R1	SRR5367522.R1	SRR5367523.R1	SRR5367524.R1	SRR5367525.R1	SRR5367526.R1	SRR5367527.R1	SRR5367528.R1	SRR5367529.R1	SRR5367530.R1	SRR5367531.R1	SRR5367532.R1	SRR5367533.R1	SRR5367534.R1	SRR5367535.R1	SRR5367536.R1	SRR5367537.R1	SRR5367538.R1	SRR5367539.R1	SRR5367540.R1	SRR5367541.R1	SRR5367542.R1	SRR5367543.R1	SRR5367544.R1
k__Bacteria;p__Actinobacteria;c__Actinobacteria	13.0	13.0	11.0	16.0	17.0	250.0	159.0	16.0	30.0	46.0	150.0	62.0	10.0	113.0	51.0	429.0	105.0	468.0	213.0	13.0	1.0	8.0	1.0	7.0	1.0	15.0	119.0	157.0	325.0	116.0	40.0	14.0	121.0	38.0	80.0	168.0	133.0	2.0	4.0	7.0	11.0	15.0	18.0	9.0	3.0	11.0	32.0	3.0	4.0	53.0	49.0	60.0	4.0	1.0	6.0	42.0	40.0	40.0	23.0	42.0	67.0	21.0	44.0	70.0	12.0	26.0	68.0	193.0	6.0	3.0	45.0	7.0	382.0	214.0	75.0	86.0	23.0	29.0	73.0	23.0	4.0	140.0	8.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	693.0	816.0	635.0	424.0	429.0	496.0	622.0	823.0	945.0	1157.0	509.0	1167.0	1378.0	798.0	1385.0	357.0	1074.0	741.0	1098.0	563.0	714.0	703.0	1001.0	1043.0	1080.0	1195.0	943.0	773.0	704.0	1021.0	796.0	1531.0	554.0	620.0	604.0	223.0	140.0	1610.0	1514.0	1624.0	1364.0	946.0	1278.0	1190.0	546.0	613.0	446.0	696.0	505.0	758.0	738.0	860.0	762.0	353.0	1460.0	667.0	653.0	456.0	495.0	767.0	1093.0	1377.0	691.0	296.0	792.0	540.0	693.0	165.0	791.0	641.0	751.0	413.0	646.0	738.0	784.0	745.0	294.0	323.0	333.0	1155.0	858.0	50.0	1593.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	5.0	1.0	0.0	1.0	4.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__unassigned	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	24.0	19.0	9.0	19.0	7.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	4.0	1.0	0.0	1.0	1.0	2.0	1.0	0.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli	9.0	2.0	22.0	3.0	4.0	0.0	4.0	4.0	3.0	2.0	106.0	0.0	2.0	19.0	3.0	31.0	5.0	164.0	13.0	0.0	1.0	0.0	17.0	1.0	23.0	2.0	2.0	0.0	1.0	0.0	111.0	15.0	64.0	9.0	11.0	26.0	7.0	1.0	0.0	4.0	5.0	4.0	2.0	3.0	10.0	8.0	14.0	24.0	12.0	0.0	5.0	14.0	0.0	1.0	8.0	2.0	2.0	3.0	4.0	28.0	4.0	0.0	0.0	0.0	1.0	1.0	5.0	923.0	1.0	1.0	2.0	5.0	25.0	2.0	6.0	0.0	2.0	5.0	0.0	51.0	2.0	1522.0	19.0
k__Bacteria;p__Firmicutes;c__Clostridia	1158.0	1024.0	1165.0	1077.0	1203.0	1058.0	1020.0	1035.0	898.0	666.0	943.0	633.0	450.0	515.0	406.0	975.0	671.0	486.0	553.0	1392.0	1237.0	1220.0	839.0	755.0	635.0	732.0	648.0	820.0	716.0	680.0	713.0	323.0	1190.0	1217.0	1211.0	1445.0	1511.0	340.0	417.0	329.0	450.0	565.0	305.0	388.0	1036.0	1185.0	1172.0	989.0	951.0	762.0	813.0	821.0	535.0	1382.0	438.0	1044.0	1063.0	1316.0	1328.0	652.0	663.0	494.0	1149.0	1526.0	1075.0	1269.0	1014.0	664.0	796.0	1171.0	968.0	1106.0	532.0	844.0	935.0	897.0	1387.0	1203.0	1295.0	638.0	975.0	248.0	30.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia	0.0	8.0	1.0	1.0	0.0	2.0	4.0	3.0	4.0	6.0	16.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	24.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	2.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	3.0	0.0	1.0	0.0	2.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	19.0	0.0	1.0	0.0	0.0	3.0
k__Bacteria;p__Firmicutes;c__Incertae_sedis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Negativicutes	30.0	25.0	32.0	73.0	48.0	1.0	0.0	1.0	1.0	0.0	35.0	78.0	41.0	109.0	95.0	29.0	5.0	36.0	1.0	1.0	0.0	1.0	4.0	1.0	14.0	0.0	5.0	2.0	3.0	0.0	3.0	0.0	1.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	98.0	146.0	208.0	129.0	182.0	57.0	71.0	135.0	113.0	97.0	106.0	73.0	140.0	4.0	6.0	54.0	56.0	47.0	36.0	169.0	41.0	41.0	12.0	5.0	35.0	15.0	106.0	17.0	14.0	12.0	3.0	5.0	37.0	28.0	25.0	47.0	32.0	60.0	48.0	16.0	10.0	7.0	19.0
