genus	ERR2162200	ERR2162201	ERR2162202	ERR2162203	ERR2162204	ERR2162205	ERR2162206	ERR2162207	ERR2162208	ERR2162209	ERR2162210	ERR2162211	ERR2162212	ERR2162213	ERR2162214	ERR2162215	ERR2162216	ERR2162217	ERR2162218	ERR2162219	ERR2162220	ERR2162221	ERR2162222	ERR2162223	ERR2162224
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	40.06683	0	0.05297	33.82217	52.50461	0	0	0.01899	0	0.01063	0	0.00313	0.97759	0	0.00795	0	0	0	0	0	0	2.67682	0	56.92273	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	16.25767	25.02476	0.00137	8.77475	6.95474	11.48819	0	4.11739	4.46643	0	11.85811	8.75997	7.76248	12.43127	12.35385	6.96117	13.81975	6.01621	15.9606	19.33147	5.46718	3.43446	13.52057	0	7.15362
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01201	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00317	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	0	0	0	0	0	0	0	0	0	0.0608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	0	0.72109	0	1.06637	0	0	0	0	0	0	1.18239	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01495
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella	0	0.02487	0	0.57421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus	0	0.02191	0	0	0	0.00678	0.00925	0	0	0.00082	0	0	0	0	0	0.00215	0.00358	0	0.00935	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	0	2.1485	0.27554	2.11268	0.04363	0.01521	0.07343	0.14374	0.00429	0.10942	0.37305	0.10654	0.04964	0.04044	0.00705	0	0.90797	0.00458	0.11946	0.10709	0.00134	0.08069	0.09399	1.26999	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Butyricicoccus	0	0	0	0	0	0	0	0	0	0.0127	0	0	0	0	0.18483	0	0	0	0	0.00055	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridiaceae_noname	0	0	0.19042	0	0	0.01194	0	0	0	0	0	0	0	0	0	0.02774	0.01705	0	0	0	0.07228	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	0.23064	0.6778	2.9196	0.13839	0.02301	0.09232	3.77051	5.12207	3.06268	6.16644	0.36384	0.63772	0.69813	0.09161	0.10498	3.30621	7.02272	0.93428	3.58202	0.05518	0.67861	7.91864	0.04571	2.0595	11.4925
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0.04364	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Finegoldia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00584	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Parvimonas	0	0	0	0	0	0	0	0	0	0	0	0	0.43153	0	0	0	0	0	0	0	0	0	0	0	0
