species	ERR2162200	ERR2162201	ERR2162202	ERR2162203	ERR2162204	ERR2162205	ERR2162206	ERR2162207	ERR2162208	ERR2162209	ERR2162210	ERR2162211	ERR2162212	ERR2162213	ERR2162214	ERR2162215	ERR2162216	ERR2162217	ERR2162218	ERR2162219	ERR2162220	ERR2162221	ERR2162222	ERR2162223	ERR2162224
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae	0	0	0	0	0	0	0	0.02628	0	0	0	0	0	0	0	0	0.03259	0	0.01136	0	0	0	0	0	0.05496
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia|s__Slackia_piriformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03166	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	0	2.21626	0	2.58865	2.89081	0	0	0.35896	0	49.24739	0	3.92792	2.35991	2.36091	2.73507	2.8794	0	3.26952	0	0	6.37706	0.00073	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus	0	0	0	0.07333	0.09889	0.24133	0	0	16.26331	0	2.55589	6.50237	9.86073	0	0	0.22798	0	15.27029	0	0	0	0.11446	0	0	3.75083
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola	0	0	0	0	4.9964	0	0	0	0	0	0	0	0	11.26426	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprophilus	0	0	0	0	0.0387	0	0	0	0	0	0	0	0	0	0	0	0.29465	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	0.19603	1.16682	0.00143	0.02442	0.26315	0.00229	0	1.0144	4.42568	0	7.1138	23.60318	0.00305	0	0.01412	0.28303	0.00387	36.51017	0	0.00591	0.93325	0.52084	4.99738	0.0013	18.27208
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii	1.91696	0	0	0.16268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis	2.18655	0.75687	0.04454	0.08326	1.22738	0	0	0	0	0	0	6.00403	0.00745	0.01085	0.00052	0	0	0	0	0	0.01054	0.50813	0	0.79402	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii	0	0	0	0.08152	0	0	0	0	0	0	0	3.41922	0	0.65033	0	0	3.66256	0	0	0	4.04237	0.11452	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	0	0.23754	0.06564	0.02013	0	3.91852	0	0.21003	1.0411	0	1.48986	1.93208	1.76011	0.00033	0	0	0	0	1.12641	1.3014	0.306	0	2.80888	0.22644	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	0	0	0	0.01839	0	12.45355	0	0	2.5029	0	0	0	0	0	0	0	0	0	0	0	0.92019	0	0	0	0.63049
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis	9.98331	0	0.00289	0	2.7276	0.00072	0	0	0	0	0	0	0	11.20472	5.47356	15.24215	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii	0	0	0	0	0	0	0	0	0	0	0	0	0.01585	0	0	0	1.35266	0	0	0.16319	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_oleiciplenus	0	0	0	0	0	0.00154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	2.39143	1.75212	5.29466	0.08951	0.06982	3.88994	0	1.62458	6.24824	0	9.72316	3.17754	1.08603	0.07457	3.91739	0.00143	5.20758	0	3.84853	3.38183	6.9376	0.41887	16.3893	2.47223	3.96777
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius	0	0	0	1.48704	0	0	0	0	0	0	0	0	0	12.11169	0	0.24272	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae	1.83852	0	0	0	0	3.26531	0	0	0	0	0	0	0.22412	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_1_1_6	0	0	0	0	0	14.86841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_2_1_22	0	0	0	0	0	0	0	0	1.19796	0	0	0	0	1.06765	0	0	17.16119	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_3_1_19	0	0	0	0	1.33983	0	0	0	0	0	0	0	0	0	5.81109	0	0	0	0	0	5.48377	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris	0	0.60913	27.4185	0.15443	2.13421	0	0	0	0	0	6.72688	1.41841	3.755	6.48563	12.65283	16.47698	0	0	0	9.85045	0	0.0498	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	0	0	5.01326	0.59995	0.23178	0.00176	0	6.34949	4.69916	31.15163	0	0.00133	1.44442	0.70189	0	1.23651	0	6.9426	4.49803	1.44982	0.56529	0.00091	0	7.43201	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	5.68357	25.39619	0.84003	0.59945	1.78785	17.17386	0	14.93201	32.74009	0	22.53006	13.80086	3.25427	3.83794	21.28479	3.21348	9.28326	0	44.0988	4.39731	20.74341	3.42448	21.48279	0	0.00192
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	1.94344	2.90548	0.32075	1.92025	4.00675	1.17081	52.04821	15.40854	0	0	6.71576	0.07967	7.64383	6.20575	4.04365	2.37347	3.34436	0	0	11.59104	10.84834	0.60867	1.31963	5.0254	0.00383
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens	0.03025	0.02806	1.95182	0.02914	0.00538	0.01485	0	0.37138	0	0	0	0	0	0.04095	0.07627	0.518	3.78237	0	0.54301	4.03877	0	0	0	0.89398	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8	0	2.37741	0	0.28129	0	0	0	0	0	0	0	0.07694	0	0	0	0.28007	0	0	0.25158	6.65447	0	0.31646	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis	0	5.01192	0	0.88003	2.84357	0	0	1.78101	0	0	0	5.32274	5.91874	0	4.19051	0	0	0	0	0	0	0.80521	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Coprobacter|s__Coprobacter_fastidiosus	0	0.06196	0	0	0.0092	0	0	0.08573	0.50322	0	0	0.14041	0	0	0.03277	0.08925	0	2.02815	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_laneus	0	0	0	0	0	0	0	0	2.16379	0	0	0	0	0	0	0	0	0	0	0	0	0.10493	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_splanchnicus	1.74194	0	0	1.25308	1.01312	0.88203	0	0	0	0	0.89971	1.1677	3.02185	1.38092	0.74024	0.26509	0	0	0	1.16153	1.22645	0.27571	1.39673	0	0.59295
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_unclassified	0	0.21877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05313	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis	8.02935	0.18064	0.00156	0.07068	0	4.85062	0	0.06376	0.00153	0	0	0.13288	1.54405	3.06011	0	10.10923	0	0	1.28616	0.18977	3.12487	5.15641	0.4314	5.60764	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii	0	1.99058	0	0.00552	0	0.17969	0	0	0	0	0	0	0.90093	0.20811	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_johnsonii	0	0	0	0	0.00256	0	0	3.33035	0	0	2.60476	5.70688	0	0	0	0	0	0	0	0	0	6.25716	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae	2.5543	0	0	3.11713	2.47383	0	0	4.49037	0	0	0	0	0	2.62584	1.90679	2.91121	0	0	0	0	0	0	12.15762	0.61193	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_sp_20_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.60724	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified	0	0.68263	3.61501	0	0	2.19819	0.54099	0	3.8509	0	0	3.28475	3.00508	0	3.95643	0	0	16.62687	0.2255	1.2925	6.18004	0	1.69181	0.7365	3.55764
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_asaccharolytica	0	0.00039	0	0	0	0	0	0	0	0	0	0	0.47375	0	0.0475	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_uenonis	0	0	0	0	0	0	0	0	0	0	0	0	0.5537	0	0.00205	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_clara	0	0.14038	0	0	0.52668	0	0	0.12494	0	0	0	0	0	0.84659	0	1.21378	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_unclassified	0	0.4841	0	0	0.72128	0	0	0.39976	0	0	0	0	0	1.11978	0	1.45034	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_xylaniphila	0	0.00793	0	0	0.06582	0	0	0	0	0	0	0	0	0.12826	0	0.40849	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_buccalis	0	0	0	0	0	0	0	0	0	0.01063	0	0	0	0	0.00795	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	40.06683	0	0.0184	33.82217	52.50461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.67682	0	56.92273	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_disiens	0	0	0.03457	0	0	0	0	0.01899	0	0	0	0.00313	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_nigrescens	0	0	0	0	0	0	0	0	0	0	0	0	0.96073	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_oralis	0	0	0	0	0	0	0	0	0	0	0	0	0.01686	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii	0.95949	0.47175	0	0.00249	0.47382	1.03571	0	0	0.14521	0	0	0	1.43644	0	0.00861	0.2056	0	0.78952	0	0.85151	0	0.00999	0.16562	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus	0	0.77472	0	0	0	0	0	0	0.23428	0	0	0.06954	0.21075	0	0	0.05372	1.15274	0	0	0	0	0.03787	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii	0	1.10188	0	0.04152	0.62385	1.63425	0	0	0.32649	0	2.68933	3.12483	1.32505	2.62702	0.33173	0.18498	0	3.43489	0	9.7017	0	0.69322	1.08438	0	0
