family	ERR2162200	ERR2162201	ERR2162202	ERR2162203	ERR2162204	ERR2162205	ERR2162206	ERR2162207	ERR2162208	ERR2162209	ERR2162210	ERR2162211	ERR2162212	ERR2162213	ERR2162214	ERR2162215	ERR2162216	ERR2162217	ERR2162218	ERR2162219	ERR2162220	ERR2162221	ERR2162222	ERR2162223	ERR2162224
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	1.03212	1.59005	18.75989	1.98414	1.64003	4.75703	2.84781	7.2677	2.44027	3.97616	2.06476	4.64459	8.11357	3.87489	1.86288	1.93588	0.3166	1.51578	2.89473	2.91861	3.60242	45.27342	4.69627	1.81011	2.50206
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.06745	0.06206	0.07313	0.8285	0.08583	0.20304	0	1.66228	0.92917	1.59949	1.32673	0.79891	0.38911	2.3229	1.53758	1.54892	3.43891	0.8787	1.64525	1.1738	0.79108	0.1679	0.56997	0	2.1624
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0	0.00642	0.09276	0	0	0	1.11631	0	0	0.05063	0.02325	0	0.01777	0.08176	0	0	0.09201	0	0	0.1797	0.02075	0	0.05948	0.0951	0.00669
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	0.32076	8.11162	14.69494	24.3243	5.04966	13.7507	4.62161	10.87301	4.96941	2.14393	4.98624	4.05369	21.97389	9.52736	11.71816	3.93617	14.63294	6.13686	12.37832	14.32167	12.22049	17.33612	15.47717	3.68574	10.90994
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.02744	1.50889	0.81645	0.34004	0.02624	0.21981	0.16252	0.30511	0.0707	0.21089	0.00146	0.00628	0.39253	0.06528	0.18479	0.23438	0.35456	0.06715	0.34588	0.05603	0.45915	0.08764	0.0313	0	1.47725
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	1.1683	2.83956	0	2.49789	0	0	0	0	0	0	6.22955	0	0	2.14384	0	0	0	0	0	0	1.65348	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0	0.05608	0.85822	1.95783	0.09148	0.00875	0.00856	0.00184	4.76934	1.60746	0.64646	0.0003	0.19093	0.02581	0.00192	2.78194	0	0.00609	1.05778	2.35601	0.6474	0.75734	0.03517	1.90311	0.23769
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	0	0	0	0	0	0	0	0	0	0.00073	0	0	0.0517	0	0.19286	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	0	0.07214	0	0.04552	0.01299	0.47563	0	0.58673	0.73745	0	0.48859	0.10701	0	0.21394	1.18263	0.45394	0	0	0.0727	0.25531	0	0.0047	0.03381	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	0	0.02469	0	0	0	0.02951	0	0.02579	0.02625	0	0	0	0.0393	0	0	0	0	0	0.02587	0	0.00225	0.00307	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0	0.76204	0.15609	0.15134	0.59605	0.29489	0	0.83025	0.06148	0	0.4129	0.03519	0	0.29854	0.83023	0	0.09542	0	0.9412	2.27289	1.50461	0.24574	0.19319	2.04233	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0	2.5591	3.25544	0.08551	0.6999	0.73323	0	2.47977	0.58279	0.94625	0.08342	0	1.773	1.51674	0.9856	0.24776	0	0.8588	0.88863	0.81675	0.72728	0.43153	0.82565	0	0.37383
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01905	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.48494	0	3.51066	0.11842	0.9797	0	14.43476	0.06039	0.08393	1.66594	7.92395	0.79551	0.62084	0.00671	0.00858	0.09502	5.12492	0.00799	0.01544	0.02707	0.00361	0.02169	0.15937	3.98517	1.27734
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0	0.03087	0	0.0265	0.13659	0.00048	0	0	0	0.0352	0.01185	0	0.03912	0	0	0	0	0.09859	0.02245	0.15564	0	0.01176	0.21686	0.92808	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.04514	0	0	0	0.01789	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	0.00694	4.56673	0	0	0	0.31396	0.10737	10.47057	0	0	0.41631	0	0.30433	0	0	1.59098	0	0	0.35868	1.31566	0	0	0	1.28112	25.24608
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01778	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Podoviridae	0	0.01107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae	0	0	0.06999	0	0	0.00199	0	0.16832	0	0.2473	0	0.02083	0	0.04317	0	0	8.55787	0	0.36966	0	0.00208	0	0	0.01116	0.00633
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Picornavirales|f__Secoviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00866	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Adenoviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00288	0
