Taxon	SRR6000872	SRR6000875	SRR6000876	SRR6000879	SRR6000880	SRR6000881	SRR6000882	SRR6000883	SRR6000884	SRR6000885	SRR6000886	SRR6000887	SRR6000888	SRR6000889	SRR6000897	SRR6000898	SRR6000904	SRR6000913	SRR6000914	SRR6000915	SRR6000916	SRR6000917	SRR6000918	SRR6000919	SRR6000922	SRR6000923	SRR6000924	SRR6000925	SRR6000926	SRR6000927	SRR6000928	SRR6000929	SRR6000930	SRR6000933	SRR6000934	SRR6000935	SRR6000936	SRR6000937	SRR6000938	SRR6000939	SRR6000941	SRR6000948
k__Archaea;p__Euryarchaeota;c__Methanobacteria	19.0	0.0	0.0	1.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	18.0	0.0	0.0	40.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	184.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Holophagae	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	93.0	15.0	37.0	7.0	35.0	115.0	55.0	51.0	274.0	45.0	220.0	17.0	5.0	57.0	33.0	106.0	34.0	68.0	29.0	12.0	17.0	33.0	13.0	2466.0	14.0	25.0	118.0	288.0	63.0	26.0	121.0	1.0	211.0	71.0	2.0	53.0	3.0	16.0	65.0	308.0	186.0	107.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	4357.0	6205.0	7335.0	5854.0	7109.0	3703.0	5931.0	5490.0	4969.0	2613.0	4616.0	5609.0	7389.0	2565.0	6092.0	3804.0	5196.0	5994.0	3499.0	6337.0	6252.0	5791.0	6256.0	1115.0	5848.0	8271.0	3601.0	2479.0	4272.0	6172.0	101.0	6576.0	3217.0	5719.0	6727.0	5998.0	8663.0	3595.0	4828.0	4597.0	5648.0	3253.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteria	0.0	1.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	185.0	0.0	0.0	0.0	15.0	9.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	12.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__unassigned	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	9.0	0.0	2.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	24.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0	1.0	0.0
k__Bacteria;p__Deferribacteres;c__Deferribacteres	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli	10.0	3.0	5.0	8.0	20.0	62.0	166.0	64.0	9.0	44.0	3.0	68.0	25.0	827.0	8.0	7.0	5.0	70.0	38.0	5.0	7.0	25.0	49.0	253.0	90.0	6.0	8.0	2416.0	9.0	48.0	37.0	18.0	319.0	214.0	0.0	13.0	4.0	331.0	377.0	96.0	259.0	27.0
k__Bacteria;p__Firmicutes;c__Clostridia	2856.0	3023.0	2138.0	3484.0	2311.0	4014.0	3147.0	3418.0	1783.0	6380.0	3615.0	3559.0	2050.0	5008.0	2964.0	4570.0	4097.0	2423.0	4594.0	2860.0	1989.0	3280.0	2724.0	4565.0	3358.0	839.0	5262.0	2525.0	4661.0	2906.0	1928.0	1517.0	4974.0	2089.0	1414.0	2925.0	929.0	4920.0	2959.0	3656.0	2820.0	5353.0
