Taxon	SRR6000872	SRR6000875	SRR6000876	SRR6000879	SRR6000880	SRR6000881	SRR6000882	SRR6000883	SRR6000884	SRR6000885	SRR6000886	SRR6000887	SRR6000888	SRR6000889	SRR6000897	SRR6000898	SRR6000904	SRR6000913	SRR6000914	SRR6000915	SRR6000916	SRR6000917	SRR6000918	SRR6000919	SRR6000922	SRR6000923	SRR6000924	SRR6000925	SRR6000926	SRR6000927	SRR6000928	SRR6000929	SRR6000930	SRR6000933	SRR6000934	SRR6000935	SRR6000936	SRR6000937	SRR6000938	SRR6000939	SRR6000941	SRR6000948
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	19.0	0.0	0.0	1.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	18.0	0.0	0.0	40.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	184.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Holophagae;o__Acanthopleuribacterales	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	8.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	5.0	7.0	0.0	3.0	0.0	0.0	1.0	12.0	3.0	0.0	0.0	1.0	0.0	1.0	16.0	1.0	20.0	3.0	4.0	0.0	15.0	5.0	0.0	7.0	2.0	0.0	0.0	2.0	2.0	28.0	3.0	7.0	13.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	35.0	0.0	17.0	0.0	29.0	62.0	1.0	29.0	191.0	24.0	170.0	2.0	0.0	9.0	3.0	1.0	0.0	47.0	2.0	0.0	4.0	5.0	1.0	1715.0	10.0	3.0	99.0	142.0	52.0	6.0	105.0	1.0	2.0	56.0	1.0	36.0	0.0	0.0	8.0	203.0	70.0	4.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales	50.0	14.0	20.0	7.0	6.0	52.0	52.0	22.0	83.0	16.0	43.0	15.0	2.0	48.0	30.0	104.0	22.0	18.0	27.0	12.0	12.0	28.0	11.0	735.0	3.0	2.0	16.0	142.0	11.0	5.0	10.0	0.0	202.0	13.0	1.0	17.0	1.0	14.0	29.0	102.0	109.0	90.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Rubrobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	4357.0	6205.0	7335.0	5854.0	7109.0	3703.0	5931.0	5490.0	4969.0	2613.0	4616.0	5609.0	7389.0	2565.0	6092.0	3804.0	5196.0	5994.0	3499.0	6337.0	6252.0	5791.0	6256.0	1115.0	5848.0	8271.0	3601.0	2479.0	4272.0	6172.0	101.0	6576.0	3217.0	5719.0	6727.0	5998.0	8663.0	3595.0	4828.0	4597.0	5648.0	3253.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales	0.0	1.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	185.0	0.0	0.0	0.0	15.0	9.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	12.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__unassigned;o__unassigned	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	9.0	0.0	2.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	24.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0	1.0	0.0
k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	25.0	0.0	1.0	0.0	7.0	7.0	1.0	0.0	1.0	33.0	3.0	0.0	1.0	8.0	0.0	70.0	3.0	3.0	145.0	1.0	0.0	12.0	0.0	0.0	1.0	0.0	0.0	0.0	113.0	7.0	0.0	41.0	1.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	8.0	3.0	5.0	8.0	20.0	62.0	166.0	64.0	8.0	19.0	3.0	67.0	25.0	820.0	1.0	6.0	5.0	69.0	5.0	2.0	7.0	24.0	41.0	253.0	20.0	3.0	5.0	2271.0	8.0	48.0	25.0	18.0	319.0	213.0	0.0	13.0	4.0	218.0	370.0	96.0	218.0	26.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	2856.0	3023.0	2138.0	3484.0	2311.0	4014.0	3147.0	3418.0	1783.0	6380.0	3614.0	3559.0	2050.0	5008.0	2964.0	4541.0	4097.0	2423.0	4594.0	2860.0	1989.0	3279.0	2724.0	4565.0	3355.0	839.0	5262.0	2525.0	4660.0	2906.0	1928.0	1517.0	4973.0	2089.0	1414.0	2925.0	929.0	4920.0	2958.0	3656.0	2819.0	5353.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Halanaerobiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__unassigned	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales	102.0	491.0	54.0	298.0	108.0	501.0	98.0	108.0	25.0	32.0	237.0	133.0	27.0	200.0	74.0	62.0	128.0	149.0	247.0	112.0	93.0	469.0	664.0	347.0	127.0	98.0	5.0	31.0	96.0	60.0	37.0	51.0	346.0	78.0	181.0	201.0	85.0	71.0	64.0	300.0	294.0	569.0
