Taxon	Wargo.109865.R1	Wargo.115690.R1	Wargo.116774.R1	Wargo.117349.R1	Wargo.118369.R1	Wargo.118370.R1	Wargo.120662.R1	Wargo.121296.R1	Wargo.121409.R1	Wargo.121585.R1	Wargo.121891.R1	Wargo.121892.R1	Wargo.122114.R1	Wargo.122410.R1	Wargo.122412.R1	Wargo.122637.R1	Wargo.122639.R1	Wargo.122724.R1	Wargo.123009.R1	Wargo.123197.R1	Wargo.123305.R1	Wargo.123704.R1	Wargo.123986.R1	Wargo.124418.R1	Wargo.124419.R1	Wargo.124421.R1	Wargo.126747.R1	Wargo.126802.R1	Wargo.127261.R1	Wargo.127262.R1	Wargo.130510.R1	Wargo.130511.R1	Wargo.130801.R1	Wargo.131051.R1	Wargo.131300.R1	Wargo.131302.R1	Wargo.131512.R1	Wargo.131541.R1	Wargo.132265.R1	Wargo.132266.R1	Wargo.132268.R1	Wargo.132538.R1	Wargo.133270.R1
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	1798.0	2139.0	4295.0	1130.0	1622.0	3365.0	3711.0	4921.0	3227.0	3872.0	5038.0	591.0	5894.0	2245.0	4346.0	3481.0	12.0	6106.0	4369.0	4504.0	5533.0	31.0	989.0	3315.0	6171.0	5690.0	2190.0	3728.0	3749.0	3133.0	3404.0	4965.0	1251.0	4978.0	5006.0	1.0	3991.0	2959.0	5253.0	181.0	3694.0	588.0	1388.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	285.0	285.0	51.0	947.0	325.0	222.0	204.0	121.0	801.0	556.0	221.0	272.0	481.0	104.0	410.0	2.0	1119.0	1.0	147.0	887.0	352.0	2.0	1701.0	480.0	458.0	493.0	455.0	176.0	280.0	215.0	244.0	379.0	490.0	0.0	641.0	0.0	43.0	54.0	244.0	349.0	797.0	76.0	50.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	4568.0	31.0	0.0	0.0	4161.0	2.0	0.0	4.0	2.0	41.0	0.0	228.0	0.0	0.0	288.0	3.0	39.0	1.0	0.0	0.0	12.0	170.0	1.0	19.0	2.0	1.0	1.0	1932.0	203.0	0.0	6.0	464.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	277.0	2.0	6491.0	2.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	423.0	484.0	1.0	896.0	229.0	617.0	446.0	3.0	96.0	121.0	220.0	2331.0	78.0	741.0	559.0	1938.0	0.0	1.0	419.0	394.0	519.0	0.0	98.0	234.0	480.0	17.0	376.0	252.0	411.0	466.0	298.0	194.0	29.0	627.0	256.0	0.0	546.0	862.0	139.0	148.0	302.0	5.0	102.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__unassigned	1.0	3.0	2.0	2.0	1.0	0.0	5.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	11.0	1.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	91.0	1.0	0.0	1.0	1.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Sphingobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__unassigned;o__unassigned;f__unassigned	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	10.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_2	0.0	318.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillales_Incertae_Sedis_XI	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	5.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Thermoactinomycetaceae_1	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	21.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	28.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__unassigned	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	2.0	0.0	2.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	1.0	11.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0	1.0	1.0	102.0	1.0	1.0	2.0	1.0	244.0	1.0	42.0	2.0	2.0	1.0	14.0	2.0	7.0	1.0	7.0	0.0	0.0	0.0	1.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	1.0	86.0	18.0	0.0	4.0	9.0	0.0	8.0	0.0	7.0	1.0	15.0	27.0	2.0	2.0	33.0	3.0	7.0	18.0	5.0	3.0	14.0	116.0	0.0	8.0	1.0	167.0	5.0	0.0	180.0	0.0	1.0	34.0	33.0	0.0	6.0	11.0	11.0	1.0	8.0	8.0	23.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1	0.0	194.0	0.0	73.0	20.0	6.0	4.0	0.0	9.0	7.0	122.0	10.0	0.0	1261.0	13.0	34.0	2.0	1.0	9.0	2.0	10.0	253.0	1207.0	160.0	0.0	2.0	44.0	30.0	6.0	98.0	0.0	3.0	14.0	9.0	3.0	227.0	32.0	21.0	0.0	121.0	2.0	1.0	155.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Incertae_Sedis_XI	0.0	0.0	0.0	2.0	1.0	3.0	4.0	8.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	8.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Incertae_Sedis_XIII	0.0	7.0	0.0	3.0	1.0	1.0	8.0	0.0	0.0	1.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	27.0	4.0	2.0	0.0	0.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	6.0	0.0	0.0	2.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae	14.0	41.0	26.0	125.0	10.0	86.0	2.0	63.0	0.0	28.0	15.0	158.0	0.0	226.0	112.0	39.0	15.0	0.0	3.0	1.0	14.0	63.0	12.0	196.0	0.0	0.0	63.0	10.0	54.0	290.0	18.0	0.0	6.0	33.0	240.0	0.0	88.0	61.0	7.0	225.0	0.0	6.0	91.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Gracilibacteraceae	0.0	1.0	8.0	4.0	0.0	0.0	3.0	0.0	0.0	2.0	3.0	9.0	0.0	5.0	0.0	9.0	0.0	0.0	0.0	0.0	3.0	51.0	0.0	6.0	0.0	0.0	21.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	6.0	5.0	2.0	18.0	0.0	0.0	6.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Incertae_Sedis_XI	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Incertae_sedis	0.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	4.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	468.0	2111.0	1793.0	1373.0	846.0	668.0	1721.0	1049.0	1200.0	1634.0	1054.0	1028.0	1049.0	1186.0	647.0	1150.0	1465.0	1241.0	964.0	1027.0	329.0	3709.0	440.0	1190.0	109.0	515.0	1177.0	550.0	619.0	402.0	580.0	677.0	2137.0	303.0	1001.0	6216.0	1479.0	1042.0	462.0	3721.0	1193.0	206.0	1447.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae_1	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	5.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae	0.0	1.0	14.0	0.0	4.0	1.0	0.0	146.0	0.0	2.0	0.0	0.0	3.0	0.0	32.0	37.0	68.0	3.0	10.0	0.0	22.0	42.0	34.0	5.0	0.0	0.0	32.0	33.0	1.0	2.0	4.0	0.0	177.0	10.0	1.0	88.0	0.0	31.0	1.0	9.0	30.0	17.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	183.0	1182.0	637.0	2205.0	374.0	2278.0	1198.0	372.0	1524.0	596.0	715.0	2496.0	151.0	1477.0	680.0	648.0	2909.0	305.0	334.0	819.0	654.0	3004.0	2071.0	1622.0	43.0	571.0	1996.0	667.0	1375.0	741.0	938.0	606.0	406.0	1125.0	614.0	773.0	1154.0	2230.0	850.0	2164.0	1563.0	214.0	656.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Syntrophomonadaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__unassigned	0.0	56.0	41.0	136.0	2.0	22.0	13.0	45.0	26.0	10.0	6.0	47.0	3.0	24.0	4.0	7.0	3.0	3.0	5.0	12.0	1.0	18.0	3.0	26.0	1.0	3.0	50.0	15.0	31.0	62.0	4.0	4.0	6.0	5.0	1.0	10.0	13.0	9.0	7.0	324.0	49.0	0.0	53.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Natranaerobiales;f__Natranaerobiaceae	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__unassigned;f__unassigned	0.0	0.0	0.0	13.0	0.0	0.0	12.0	0.0	0.0	0.0	7.0	2.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	2.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae	0.0	152.0	16.0	8.0	13.0	39.0	24.0	14.0	11.0	22.0	4.0	24.0	3.0	16.0	17.0	29.0	102.0	20.0	5.0	46.0	2.0	186.0	2.0	5.0	0.0	2.0	34.0	1.0	7.0	1.0	17.0	7.0	29.0	27.0	4.0	64.0	60.0	24.0	43.0	25.0	23.0	0.0	131.0
k__Bacteria;p__Firmicutes;c__Incertae_sedis;o__Incertae_sedis;f__Incertae_sedis	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae	23.0	129.0	0.0	2.0	9.0	52.0	53.0	6.0	2.0	79.0	0.0	59.0	0.0	136.0	125.0	0.0	0.0	0.0	247.0	0.0	0.0	0.0	18.0	87.0	55.0	37.0	146.0	154.0	5.0	18.0	130.0	0.0	1.0	188.0	55.0	0.0	0.0	0.0	57.0	16.0	62.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae	32.0	1.0	12.0	45.0	3.0	1.0	0.0	63.0	67.0	1.0	379.0	5.0	6.0	0.0	5.0	144.0	281.0	44.0	23.0	0.0	95.0	135.0	18.0	8.0	20.0	0.0	0.0	6.0	61.0	2.0	3.0	165.0	1575.0	1.0	3.0	250.0	42.0	59.0	24.0	13.0	0.0	115.0	3.0
k__Bacteria;p__Firmicutes;c__unassigned;o__unassigned;f__unassigned	0.0	83.0	0.0	5.0	5.0	1.0	4.0	0.0	0.0	1.0	4.0	1.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	41.0	0.0	4.0	0.0	0.0	3.0	9.0	3.0	40.0	0.0	1.0	14.0	39.0	0.0	2.0	1.0	14.0	0.0	12.0	3.0	0.0	8.0
k__Bacteria;p__Fusobacteria;c__Fusobacteria;o__Fusobacteriales;f__Fusobacteriaceae	0.0	1.0	0.0	0.0	3.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	10.0	2.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	51.0	0.0	4.0	322.0	0.0	0.0	0.0	0.0	0.0	142.0	0.0	0.0	1.0	1.0	3.0	2.0	1.0	1.0	1.0	0.0	1.0	0.0
k__Bacteria;p__Fusobacteria;c__Fusobacteria;o__Fusobacteriales;f__Leptotrichiaceae	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Lentisphaerae;c__Lentisphaeria;o__Victivallales;f__Victivallaceae	0.0	0.0	0.0	6.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	21.0	0.0	1.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__Kiloniellaceae	0.0	0.0	0.0	240.0	0.0	0.0	0.0	0.0	0.0	232.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	176.0	0.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae	30.0	40.0	0.0	71.0	43.0	0.0	45.0	1.0	17.0	0.0	0.0	68.0	0.0	26.0	0.0	0.0	442.0	0.0	0.0	0.0	10.0	0.0	0.0	306.0	0.0	2.0	181.0	34.0	0.0	4.0	35.0	17.0	16.0	1.0	31.0	0.0	20.0	29.0	104.0	88.0	28.0	0.0	0.0
