# Constructed from biom file
#OTU ID	Wargo.109865.R1	Wargo.115690.R1	Wargo.116774.R1	Wargo.117349.R1	Wargo.118369.R1	Wargo.118370.R1	Wargo.120662.R1	Wargo.121296.R1	Wargo.121409.R1	Wargo.121585.R1	Wargo.121891.R1	Wargo.121892.R1	Wargo.122114.R1	Wargo.122410.R1	Wargo.122412.R1	Wargo.122637.R1	Wargo.122639.R1	Wargo.122724.R1	Wargo.123009.R1	Wargo.123197.R1	Wargo.123305.R1	Wargo.123704.R1	Wargo.123986.R1	Wargo.124418.R1	Wargo.124419.R1	Wargo.124421.R1	Wargo.126747.R1	Wargo.126802.R1	Wargo.127261.R1	Wargo.127262.R1	Wargo.130510.R1	Wargo.130511.R1	Wargo.130801.R1	Wargo.131051.R1	Wargo.131300.R1	Wargo.131302.R1	Wargo.131512.R1	Wargo.131541.R1	Wargo.132265.R1	Wargo.132266.R1	Wargo.132268.R1	Wargo.132538.R1	Wargo.133270.R1	taxonomy
Actinomyces_naeslundii:Actinomyces_oris:Actinomyces_viscosus	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces
Actinomyces_odontolyticus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces
Adlercreutzia_equolifaciens:Asaccharobacter_celatus	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Coriobacteriales; f__Coriobacteriaceae; g__unassigned
Aeromicrobium_ginsengisoli:Aeromicrobium_halocynthiae:Aeromicrobium_kwangyangensis:Aeromicrobium_marinum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__Aeromicrobium
Aeromonas_allosaccharophila:Aeromonas_aquariorum:Aeromonas_bivalvium:Aeromonas_caviae:Aeromonas_hydrophila:Aeromonas_jandaei:Aeromonas_media:Aeromonas_molluscorum:Aeromonas_piscicola:Aeromonas_popoffii:Aeromonas_rivuli:Aeromonas_salmonicida:Aeromonas_sobria:Aeromonas_veronii	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas
Aeromonas_caviae	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas
Aggregatibacter_segnis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Aggregatibacter
Akkermansia_muciniphila	0.0	434.0	0.0	19.0	0.0	3.0	164.0	19.0	4.0	312.0	0.0	43.0	0.0	2.0	336.0	1.0	0.0	0.0	335.0	0.0	183.0	0.0	150.0	24.0	1.0	0.0	168.0	0.0	16.0	9.0	0.0	66.0	1211.0	0.0	0.0	1.0	305.0	44.0	0.0	0.0	0.0	18.0	3111.0	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia
Alistipes_finegoldii	67.0	98.0	0.0	161.0	34.0	55.0	120.0	0.0	0.0	37.0	30.0	22.0	75.0	122.0	182.0	0.0	0.0	0.0	9.0	10.0	4.0	0.0	1.0	33.0	190.0	1.0	10.0	4.0	0.0	2.0	10.0	36.0	25.0	15.0	100.0	0.0	271.0	12.0	138.0	2.0	12.0	0.0	2.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes
Alistipes_finegoldii:Alistipes_onderdonkii:Alistipes_senegalensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes
