order	SRR5930493	SRR5930494	SRR5930495	SRR5930496	SRR5930497	SRR5930498	SRR5930499	SRR5930500	SRR5930501	SRR5930502	SRR5930503	SRR5930504	SRR5930505	SRR5930506	SRR5930507	SRR5930508	SRR5930509	SRR5930510	SRR5930511	SRR5930512	SRR5930513	SRR5930514	SRR5930515	SRR5930516	SRR5930517	SRR5930518	SRR5930519	SRR5930520	SRR5930521	SRR5930522	SRR5930523	SRR5930524	SRR5930525	SRR5930526	SRR5930527	SRR5930528	SRR5930529	SRR5930530	SRR5930531	SRR5930532	SRR5930533	SRR5930534	SRR5930535	SRR5930536
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.36836	1.97442	0.02533	0.00638	0.0213	0.71739	0.00467	0.00428	0.07268	6.13951	0.04022	0.47648	1.38268	0.01226	0.04678	1.33742	0.02889	0.60439	0.00929	1.03985	1.54571	0.01278	0.01093	5.63634	1.38162	1.39592	16.51821	7.68711	2.42942	0.0045	0.06034	0.01613	1.30212	2.86152	8.49632	0.00777	2.08738	0.02554	0.09347	0.02927	0.06017	0.0123	1.59564	0.05522
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0	0	0	0.0231	0.00035	0	0.08742	0.11502	0	0	0	0	0	0	0	0	0	0.2307	0	0	0	0	0	0	0	0.01989	0.14865	0	0.00947	0	0	0	0	0	0.00738	0.00455	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.20278	0	0.31374	0.75593	0.05738	0.13954	0.03192	0.03146	0.48912	0	0.0838	0	0.31862	0.16503	0	0.0999	0.0382	0.04951	0.03708	0.03761	0	0.01197	0	0.93895	0.06329	0.51268	2.20937	0.06253	0.60649	0.01469	0.09187	0.10448	0	0	0.07787	0.01327	0.00106	0.17846	1.40605	0.01698	0.73	0.03881	0.09598	0.04049
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.08322	0.34553	0.59203	1.80255	0.43766	0.703	0.09275	0.09474	0.4308	0.00412	0.14292	0.86013	0.44029	1.20151	0.00282	0.21234	1.11487	0.32271	0.03442	0.08967	0	0.11884	1.07897	0.03055	0.53567	0	1.01591	0.01787	0.79092	0.23375	0	0	0.33829	0.43924	0.60539	0.35756	0	0.92286	0.07617	0	0.4195	0.28681	0.16853	0.55774
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0	0	0	0	0	0	0.05881	0.22138	0	0	0	0	0	0	0.13095	0	0	0	0	0	0	0	0.02136	0	0	0.00014	0	0.00127	0	0	0	0	0	0.00038	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	8.51108	1.04135	0.01309	0.02256	0.08316	0.74602	0.98741	1.01292	1.13212	1.84585	0.02104	0.02644	0.01064	0.56729	0.4199	3.40139	0.43683	1.11315	0.24256	10.38874	0.06686	1.38565	3.16783	1.76071	0.98927	0.26042	0.17309	0.54463	0.01885	6.33298	5.03183	7.69108	0.94282	0.10329	0.0025	0.0744	0.38847	1.8678	0.01262	0.01393	10.00016	0.79596	6.1334	0.01196
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0	0	0	0	0	0	0	0	0.02728	0.01615	0.03256	0	0.00122	0	0	0.0016	0	0.02193	0	0	0.00154	0	0	0.00077	0	0.18747	0	0.15863	0.28647	0	0.00179	0	0	0.06374	0.00242	0.00587	0	0	0.11127	0	0.051	0.01997	0.01074	0.01643
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0	0	0	0	0	0.01398	0	0	0.00576	0	0	0	0.01528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00535	0	0	0	0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	0	0	0.38234	0.29304	0	0.20873	0.00379	0.04552	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30422	0	0	0	0	0	0	0	1.64085	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.01636	0.6406	20.1241	21.84071	0.02518	0.1328	10.66491	11.27992	9.87719	0.00638	0.10339	0.00285	0	0.01657	1.16093	0.01207	8.67109	0.12836	0.06546	0.03563	0.06119	0.54036	0.05655	0.00535	36.236	0	1.30853	0.02794	0.1101	0.5545	0.03327	0.06794	0.45898	0.00222	5.16203	0.05978	3.03102	2.8987	0.00787	0.00755	0.04641	8.83666	0.00185	0.00665
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	0	0	0.00043	0	0.00051	0	0	0	0	0	0	0.00035	0	0.00158	0.00031	0	0	0	0	0	0	0	0	0	0	0.00312	0	0	0	0	0	0	0	0	0	0	0.00093	0	0	0.00036	0	0	0.00312	0.0004
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	14.75496	0	0.00254	0.08006	0	0.01612	0.00185	0.00311	0	0.13141	0.0009	0	0.07805	0.44443	0	0.00211	1.02496	0	0.02025	0	0.0071	0.42175	0.00437	0	0	0	0.00379	0.03418	0.00107	0	0	0.02826	0.00138	0	0.0158	0.01044	0.00213	0.00313	0.00075	10.64069	0	0.00525	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	0	0	0.00293	0	0.00685	0.01183	0.00356	0	0.0079	0	0	0	0.00238	0.00282	0.00911	0	0	0	0	0.00224	0	0	0	0.00174	0	0	0	0	0	0	0	0	0	0.00335	0.00196	0	0.00476	0	0.01009	0	0	0.00727	0.0019	0
