genus	SRR5930493	SRR5930494	SRR5930495	SRR5930496	SRR5930497	SRR5930498	SRR5930499	SRR5930500	SRR5930501	SRR5930502	SRR5930503	SRR5930504	SRR5930505	SRR5930506	SRR5930507	SRR5930508	SRR5930509	SRR5930510	SRR5930511	SRR5930512	SRR5930513	SRR5930514	SRR5930515	SRR5930516	SRR5930517	SRR5930518	SRR5930519	SRR5930520	SRR5930521	SRR5930522	SRR5930523	SRR5930524	SRR5930525	SRR5930526	SRR5930527	SRR5930528	SRR5930529	SRR5930530	SRR5930531	SRR5930532	SRR5930533	SRR5930534	SRR5930535	SRR5930536
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Parascardovia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03243	0.00668	0	0	0	0.00718	0	0	0	0	0.00627	0.00203	0.03834	0.00273	0	0	0	0	0	0	0	0	0	0	0	0.00621	0	0	0.01257	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia	0.13639	0.59431	0.6451	1.41286	0.4936	0.52051	0	0	0.0013	0	0.16175	1.633	0.34521	0	0.26418	0.04039	0.05966	0.06911	0.14875	0.13966	0	0.02711	0.20358	0.07339	0.00223	0.12019	0	0.18754	0.09461	0.30153	0	0	0.56337	0.05926	0	0.62888	0.00037	0.06801	0.45873	2.42095	0.06962	0.23629	0.03034	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium	0.00056	0	0	0	0.00201	0	0.00768	0.00553	0.00527	0	0	0	0	0	0	0.00285	0.00218	0	0	0	0	0	0	0	0	0.0091	0.00959	0.00115	0.00567	0.00872	0.00049	0	0	0.00581	0	0	0	0	0	0.01652	0	0	0.00658	0.00025
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	1.29915	1.60375	0.00252	0.0072	0.54857	1.21289	2.07594	2.23343	0.83593	0.00104	0.81033	0.0049	0.51608	0.00918	3.28727	2.76492	0.02072	0.79246	10.19713	0.00252	0.00451	3.17961	0.00631	5.37638	2.81797	4.57615	5.50065	3.3358	3.42778	2.44777	0.02223	0.00428	1.75842	1.02379	0.00629	0.00641	0.01829	1.20887	1.82757	0.01467	2.37874	0.5097	2.45098	2.2058
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacteriaceae_noname	0	0	0	0	0	0	0.00679	0.08317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella	0.11023	0.99302	1.80257	0.43381	0.05909	0.05895	0.83682	0.91249	0.00926	0.5405	0.02972	1.1978	0.407	1.00033	0.29589	0.0948	1.4751	0.39454	0.62695	1.01462	1.37664	0.06591	1.60057	0.00458	0.91638	0.19775	0.01807	0.01354	0.1217	7.03319	0.00969	0.0116	1.01677	0.4485	0.46185	2.33729	0.86247	0.01629	0.22433	0.88662	0.35823	0.6897	0.04291	0.7304
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter	0.04971	0.01686	0.89086	0.21347	0.13692	0.03527	0.02087	0.02301	0	0.02034	0.00057	0.04978	0.31718	0.27481	0.01836	0.06168	0.13048	0.00456	0.26743	0.05372	0	0.01672	0.35771	0	0.00621	0.05803	0	0.00733	0.02541	0.31086	0.24347	0.41476	0.01445	0	0.09766	0.48707	0.26117	0.03769	0.03413	0	0.07137	0.12286	0.04576	0.17403
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00614	0	0	0	0	0	0.00597	0.01557	0.02041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0027	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00282	0	0	0	0	0	0	0	0.17969	0	0	0.15597	0	0	0.00479	0	0	0	0.20891	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	3.24957	5.24535	9.68376	16.66845	16.65144	6.99249	14.99989	14.08202	13.69442	20.32772	9.88283	16.91608	17.74578	24.8085	15.75155	13.57943	13.5475	28.38134	10.74127	0.68607	56.81136	6.75541	32.43545	4.39204	5.05893	36.16832	34.66063	13.3231	37.46059	3.7786	21.75215	20.24681	4.04599	12.91109	13.67459	19.73014	18.63486	15.82872	7.6672	5.02292	11.83646	14.5982	19.06475	40.72239
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname	0.32573	0	0.52603	1.2533	0.1047	0.94024	0.195	0.21738	0.18953	0	1.87155	0	0.18681	0	0	0.18282	0.15053	0	0	0	0	2.27246	0	0.08849	0.02111	0	0	0	0.00096	0.03573	0	0	0.00025	0	0.00035	0	0.00049	0.06711	0.05507	0.00047	0	0	0.21054	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	0	0	0.00268	0.00149	3.73237	2.56126	0.00296	0	2.67096	0	0.00154	0	0	2.37668	0.00027	0.00159	0.00361	1.8165	0.34439	0.02443	0.00032	0.72772	0	0.51407	0.00214	0	0.00034	0.00198	0.00308	0.46738	3.75773	2.01495	0	0.06402	3.55372	0.00204	0.00203	1.91914	0.00263	0.00277	0.00427	0.00323	0	0.00233
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Butyricimonas	0	0	0	0	0	0	0	0	0.00018	0	0	0	0	0	0	0	0	0	0	0	0	0.08757	0	0	0	0	0	0	0.00048	0	0	0	0	0	0.04363	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Coprobacter	0	0	1.34143	0.57151	0.00107	0	0	0	0.0943	0	0	0	0.21143	0	0	0	0	0	0.00917	0	0	0.00131	0	0	0	0	0	0	0	0.01245	0	0	0	8e-05	0.23673	0.00773	0	0.04461	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Dysgonomonas	0	0.00288	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	0.43912	0.37099	0.14917	0.21794	0.66775	0.70197	0.4478	0.52958	2.85129	0	0.32645	0	0.35306	1.29994	0	0.41042	3.29573	0.71594	0.49072	0	0	1.74896	0	0.31351	0.54694	0	0	0	0	0.33061	1.49747	0.49899	0.31634	0.19929	1.13833	0.555	0.47704	0.37205	0.28162	0.37285	0	1.61481	0.36622	0.31238
