genus	SRR5930493	SRR5930494	SRR5930495	SRR5930496	SRR5930497	SRR5930498	SRR5930499	SRR5930500	SRR5930501	SRR5930502	SRR5930503	SRR5930504	SRR5930505	SRR5930506	SRR5930507	SRR5930508	SRR5930509	SRR5930510	SRR5930511	SRR5930512	SRR5930513	SRR5930514	SRR5930515	SRR5930516	SRR5930517	SRR5930518	SRR5930519	SRR5930520	SRR5930521	SRR5930522	SRR5930523	SRR5930524	SRR5930525	SRR5930526	SRR5930527	SRR5930528	SRR5930529	SRR5930530	SRR5930531	SRR5930532	SRR5930533	SRR5930534	SRR5930535	SRR5930536
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Peptoniphilus	0.00062	0	0	0	0	0	0.09829	0.2317	0	0.00796	0	0	0.00432	0	0	0	0	0.01341	0	0	0	0	0.11226	0	0	0	0	0	0	0.04139	0	0	0	0.00215	0	0	0	0	0	0.00059	0	0	0	0.00487
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname	0.00127	0.00084	0.10715	0.03368	0.00687	0.04138	0.38022	0.34517	0.00693	0.10959	2.05696	0.31742	0.00925	0.12592	0.01998	0.017	0.03784	0.02828	0.00594	0.00752	0.02929	0	0.12005	0.00471	0.1519	0.03892	0.13372	0.00422	0.03913	0.00963	0	0	0	0.09752	0.03667	0.10958	0.01293	0.01328	0.00013	0.03525	0.01303	0.005	0.0151	0.02461
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Flavonifractor	0.00863	0.09254	0.0999	0.04182	0.02704	0.00614	0.03762	0.03277	0.00388	0.71122	0	0.15335	0.04965	0.06223	0.04306	0.06965	0.01106	0.06847	0.01005	0	0.14571	0	0.1195	0.02801	0.03559	0.4744	0.39349	0.00217	0.15753	0.02029	0.0936	0.09821	0.0693	0.04738	0.02585	0.08929	0.31877	0.01372	0.00569	0.18682	0.12799	0.01988	0.06527	0.02132
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Pseudoflavonifractor	0.00163	0.0634	0.00809	0.00133	0.04506	0.0028	0.00453	0.00357	0	0.00155	0.00416	0.05423	0.0041	0.01953	0.03972	0.00577	0.00769	0.00056	0.00452	0	0	0.00805	0	0.00246	0.01831	0.00738	0	0.00062	0.00052	0	0	0	0.06254	0.03731	0.02996	0.17337	0.03571	0.0153	0.00553	0	0.00024	0	0.00521	0.00015
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Anaerofustis	0	0.01205	0	0	0.00112	0.05364	0.05263	0.05803	0.00558	0	0.00975	0.0598	0.00938	0.00129	0.01535	0	0.00624	0.07208	0.058	0	0	0.04537	0	0	0.15018	0	0	0	0.00019	0.02675	0	0	0.01018	0.01713	0	0	0.02675	0.00026	0	0.09538	0.07024	0.02356	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	4.01921	12.5036	0.04283	1.26724	5.56264	10.02588	4.88267	4.88744	7.69074	0.03383	24.50364	10.28277	12.95078	8.07508	26.21915	7.27656	2.96116	13.90344	7.89906	19.8356	19.28841	2.67529	0.6642	2.21244	1.53454	7.05329	1.71915	17.65125	11.98734	1.72435	7.75318	17.58948	10.16973	4.42171	10.17012	4.51042	2.30507	15.48084	23.18238	2.4025	8.32685	13.09816	9.01777	0.68354
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Pseudoramibacter	0	0	0.01908	0	0.01546	0.01103	0.00862	0	0.0183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	0.01583	0.16707	0.69166	0.38701	0.06851	0.22762	0.27508	0.24781	0.08061	1.2069	0.09705	0.1285	0.06293	1.3106	0.21582	0.00458	0.01029	0.57542	0.31059	0.11184	0.00956	0.01101	0.39595	0.03184	0.07676	0.03412	0	0.04225	0.18677	0.14699	0.12513	0.06242	0.23828	0.12486	0.02156	2.07481	0.65995	0.03349	0.57836	0.26395	0.0304	0.04913	0.00121	2.65442
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	1.78782	17.44052	20.467	2.94223	6.58042	3.90212	2.83333	2.85608	4.58304	10.66404	3.89743	10.96434	7.9105	14.4122	3.63081	22.19995	10.1161	8.25643	16.52667	8.45518	3.2127	3.90537	13.50558	1.92724	11.14483	9.75569	0.76783	3.48626	4.09611	12.00948	20.65938	19.50781	17.27074	19.9564	0.846	16.02132	11.86987	3.62416	1.28521	14.4646	4.89474	10.89642	20.18262	22.27758
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio	0	0	0.01458	0	0.01436	0.00183	0	0	6.21619	0	0	0	0	0	0	0	0	0	0	0	0	2.25855	0.00607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	1.46456	0.00358	0.00063	1.40518	4.09685	0.55797	0	0	0.52932	0.00034	15.15387	0.00269	0.50196	5.5323	1.44752	1.12364	4.27686	0.24457	0.03348	2.87628	1.02307	0.0083	0.00252	0.3344	1.14969	0.94438	0.00417	2.46394	1.40563	1.45725	2.47972	2.94909	0.00034	0.78399	0.37968	0	0.0052	0.45785	1.32467	0.00413	0.00672	6.92807	1.00378	0.11946
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	2.46467	0.16961	0.00693	0.43202	1.81409	5.44999	0.00271	0.0039	2.49481	0.01119	1.01459	7.10446	4.18368	1.79106	3.0992	0.55304	1.1317	3.06138	5.68125	8.74359	1.45491	0.01818	0.13498	2.10966	0.15818	0.69144	0.00781	2.27434	0.30278	0.8781	2.26816	2.0673	0.13826	6.28485	1.28818	0.00062	0.00512	1.3082	1.22017	0.00788	0.88868	3.74988	0.56099	2.59605
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname	0.45704	0.99399	1.33711	3.12475	0.6821	2.22336	0.99173	0.96086	1.07432	1.34379	0.82629	2.06835	1.15176	0.7294	1.95345	0.94594	0.64041	3.13785	2.70053	5.18082	2.63555	0.81566	1.86298	0.14844	2.0465	0.63854	2.64076	0.21103	0.75924	4.6823	2.0805	0.75943	1.1773	4.06558	0.55237	6.42393	4.44061	1.7713	0.63804	5.6714	4.70886	3.22652	0.65556	3.55957
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Marvinbryantia	0	0	0	0.00069	0	0	0	0	0	0	0.00128	0	0	0.01191	0	0	0.00376	0	0	0	0	0	0	0	0	0	0	0	0	0.05424	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00505	0	0	0	0	0	0.00024	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	0.08741	0.95074	0.03426	1.82445	12.56956	2.24561	0.03963	0.03192	1.58572	0.0148	2.47309	5.52836	0.94264	1.03297	9.81784	0.17366	0.05197	2.15533	1.96411	9.52389	0.96379	0.05625	12.60056	0.39653	1.19076	6.14142	0.0156	1.82601	3.13238	0.02526	0.03168	0.04641	0.71968	7.33028	1.2932	0.10329	11.32258	2.68548	4.51862	0.55639	0.32962	4.39073	0.08844	0.01676
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Stomatobaculum	0	0	0	0	0	0	0	0	0.00081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01286	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	0.1142	2.11595	1.68248	3.71936	0.27923	0.12336	1.40222	1.441	0.03706	0.02525	0.35365	1.33869	0.82702	1.47406	1.52655	1.02138	0.2433	0.33603	0.2346	0.00518	0.73723	0.09854	2.45171	0.37343	0.87465	1.91551	0.8254	0.09195	1.02798	0.52318	0.66262	0.23451	1.87967	0.19307	2.2461	2.88314	2.74632	0.81274	0.39832	0.44072	0.74029	0.83741	1.27878	0.70279
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname	0.0107	0.39635	0.03363	0.00197	0.03998	0.05333	0.12862	0.20819	0.00728	0.03533	0.3361	0.00563	0.01295	0.00768	0.00151	1.34707	0.03723	0.20193	0.16497	0	0.01827	1.91328	0.66	0.4869	0.09648	1.00425	3.16936	0.88301	0.07233	0.59619	0	0	0.50496	9.87754	0.20423	0.04854	0.02418	0.69988	0.06948	0.00277	1.09076	0.11067	2.30545	0.03121
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06235	0	0.0061	0	0	0	0	0	0	0	0	0	0.01767	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	0.13433	0.09547	0.26615	0.37638	0.00912	0.10151	0.12666	0.12466	0.13441	0.06404	0.05154	0.03061	0.13153	0.05375	0.18762	0.05955	1.08502	0.00153	0.04728	0.00024	0.01553	0.08597	0.20935	0.01562	0.38199	0.00378	0	0.01404	0.10528	0.37659	0.03637	0.01716	0.03935	0.01443	0.22838	0.27699	0.03996	0.10416	0.01237	0.24034	0.14772	0.00306	0.00962	0.10212
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	4.86058	1.93386	0.0366	4.69666	17.54045	5.44442	0.02661	0.00765	17.56737	17.68627	11.69783	14.7759	9.89101	3.1356	0.0211	4.4642	0.11865	7.18776	1.68614	6.72965	0.02775	0.24998	0.02181	5.42274	1.36273	2.00777	0.02353	16.45641	5.09393	0.07699	9.243	10.38729	1.29653	11.82841	11.20041	0.03591	1.62318	17.97313	11.80554	0.05899	6.32428	2.72766	4.84375	5.42888
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_noname	0.00176	0.01661	0.00239	0.00466	0.00944	0.08496	0.00052	0.00052	0	0.00026	0.00231	0.00117	0.53166	0.46926	0.01392	0.0054	0.0004	0	0.68226	0	0.0004	0.00512	0.00024	0.00102	0.184	0.57013	0.00063	0.00128	0.00061	0.0034	0.00468	0.00158	0.01277	0.2457	0.12209	0.023	0.00663	0.00459	0.00567	0.00241	0.01502	0.0012	0.00309	0.20278
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	14.68896	10.28529	0.0174	10.45903	17.65397	21.94518	12.33604	12.16999	5.89348	21.31413	2.79052	9.67743	17.34416	7.84891	16.76616	9.24981	0.15153	6.61445	7.58601	10.89299	3.99854	0.29683	18.08377	3.74108	3.47342	5.4512	2.50711	1.97427	7.32248	3.77424	0.08275	0.01854	12.90481	2.09202	2.3229	4.63276	20.71413	12.26249	2.0424	11.11083	25.61506	10.67643	9.85879	6.34851
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	31.84166	18.30863	1.71826	3.39356	1.45073	6.22706	24.97381	23.78401	5.90734	0.15888	10.347	3.7124	3.64059	2.8646	3.32303	11.67527	19.33889	5.74535	26.9929	0.73932	1.4791	42.16863	5.03873	1.50577	1.8242	4.62774	0.4788	10.91448	3.44308	23.21853	7.13649	7.26458	21.60106	1.18774	12.98518	7.65492	3.26311	4.79882	6.19219	6.86207	2.48781	2.32402	3.11754	1.50088
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium	1.39536	0	0	0	0	0	0	0	0.05583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1949	2.28385	0	0	0	0	0	0	0	0	0	0	0	0	0.00042	0	0.0001	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	0.82723	6.08892	3.55894	0.22515	0.06261	0.02668	0.87972	0.87871	0.03437	0.73271	0.01953	0.738	0.00024	0	0.07035	0.30529	0.0284	0.00453	0.07605	0.00367	0.2524	0.0835	0.35758	0.00573	1.28365	0	0.3698	0.34428	0.02217	1.00408	0.00676	0.00461	8.29937	2.10676	0.02746	2.2583	0.02137	0.02124	0.01406	0.80931	0.32444	0.0084	0.27283	1.89421
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname	0.05883	0.7036	1.13641	0.01673	0.22667	0.05912	0.33559	0.30807	1.70046	0.27999	0.0089	0.47439	4.58198	0.21122	0.07948	0.20578	1.51883	0.0242	0.4256	0.45456	0.07607	1.38205	0.14251	1.41578	2.61152	0.65871	3.03077	0.08722	0.03623	1.62527	0.10549	0.04295	0.76422	0.29056	0.06478	4.55171	0.0789	0.03351	0.16836	0.28468	0.42084	0.05373	0.16032	0.22571
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania	0.06449	0.08138	0.2001	0.0893	0.06852	0.32579	0	0	0.02934	0	0.03113	0.61328	0.0206	0.2508	0.42352	0.0275	0.15361	0.1263	0.07902	0.02817	0	0.08343	0	0.02089	0	0	0.01422	0.03997	0.11433	0.00204	0.04852	0.0196	0.03693	0	0.07652	0.04312	0.0339	0.00827	0.0119	0	0.10245	0.18196	0.02321	0.0838
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium	0.00386	0.00029	0	0	0.00433	0	0	0	0.00294	0.00115	0	0	0	0	0	0	0.0093	0.05825	0.00246	0.00569	0	0	0	0	0	0.01731	0	0.00183	0.00036	0.0197	0.00022	0.00459	0	0	0.00124	0	0	0	0.00025	0.00163	0	0	0	0.00011
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter	0.02842	0	0	0	0	0.00441	0.3125	0.31475	0	0	0.0049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01824	0	0.03734	0	0	0	0.08547	0.00879	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcaceae_unclassified	0	0	0	0	0	0	0	0	0	0	0.00136	0	0	0.00026	0.00282	0.07157	0.00681	0	0	0	0	0	0	0	0	0	0.43276	0.05037	0	0	0	0	0	0	0	0	0	0	0	0.00043	0	0	0.09037	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus	0.15758	0	0	0	0	0.21381	0	0	0	0	0.01351	0.00494	1.37601	0.005	0.00713	1.25049	0.01274	0	0	0	0	0	0	1.02501	0	0.00369	7.35162	1.89108	0	0	0	0	0	0	0	0	0.00756	0.01001	0.00903	0.00814	0	0	1.48412	0.00669
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Phascolarctobacterium	0	0.00195	0	0	0.00091	0.49867	0	0	0	0	0.00108	0	0	0	0	0.00172	0.00128	0	0	0	0	0	0	2.89812	1.37863	0	0	0.00131	0	0	0	0	0	2.75302	0	0	0.00164	0.00214	0.00175	0.00223	0	0	0	0.00153
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister	0.20631	1.96456	0.01381	0.00638	0.01215	0.00491	0.00467	0	0.00919	5.4439	0.01245	0.46971	0	0	0	0.00314	0.00338	0	0.00896	0	1.51384	0.00439	0	0.00238	0	0.00273	0	4.05661	2.03686	0.00314	0.00414	0	1.28663	0.00524	8.47481	0.00688	2.07818	0.00467	0.00359	0.00676	0.00345	0.0048	0	0.00778
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas	0	0	0	0	0	0	0	0.00428	0	0	0	0.00183	0.00291	0.00513	0.00635	0	0	0.01054	0	0.00353	0.00367	0.00735	0.00531	0	0.00299	0.00126	8.71483	0	0	0	0	0.00471	0.01053	0	0	0	0	0	0	0	0	0	0.0019	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera	0	0	0	0	0	0	0	0	0	0	0.00993	0	0	0	0	0.00381	0	0	0	0	0	0	0	1.707	0	0.02668	0	1.66392	0.27019	0	0	0.00212	0	0	0	0	0	0	0	0.00644	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Mitsuokella	0.00415	0	0.00407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58001	0	0	0	0	0.00562	0	0	0	0	0.00374	0.00467	0	0	0	0	0	0.00415	0	0	0	0	0.00463	0.00882	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella	0.00032	0.00792	0.00744	0	0.00824	0	0	0	0.06349	0.69561	0.00188	0	0.00375	0.00188	0.03048	0.00669	0.00468	0.01384	0.00032	1.03631	0.02821	0.00103	0	0.00383	0	1.36156	0.019	0.02008	0.11769	0.00136	0.0562	0.0093	0.00497	0.10326	0.01736	0.00089	0	0.00871	0.0791	0.00063	0.0479	0.0075	0.01924	0.03922
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium	0	0	0	0.0231	0.00035	0	0.08742	0.11502	0	0	0	0	0	0	0	0	0	0.2307	0	0	0	0	0	0	0	0.01989	0.00215	0	0.00947	0	0	0	0	0	0.00738	0.00455	0	0	0	0	0	0	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichiaceae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Shinella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname	0.00224	0	0.01569	0.0591	0	0.07432	0.02083	0.02213	0	0	0.01071	0	0.17173	0	0	0.09774	0	0.00814	0	0.01074	0	0	0	0.04403	0	0.15362	0.01977	0.006	0.37854	0	0.00804	0.0057	0	0	0	0	0	0.063	0.00012	0.0123	0.00034	0	0.0921	0.00971
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Oxalobacter	0	0	0.02295	0.02901	0	0.05151	0.00376	0	0	0	0.03443	0	0	0.12885	0	0	0.03253	0.0139	0	0	0	0.00524	0	0	0	0	0	0	0	0.01307	0	0	0	0	0	0	0	0.0809	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella	0.00017	0	0.27509	0.66783	0	0.01372	0.00733	0.00933	0	0	0.00332	0	0.14689	0	0	0.00216	0	0.02748	0	0.02687	0	0	0	0.02622	0	0.35906	0.0002	0.00353	0.22795	0	0.08382	0.09878	0	0	0	0.0011	0	0.03398	0.00324	0.00402	0.00325	0	0.00388	0.03035
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella	0.20038	0	0	0	0	0	0	0	0.02513	0	0.00099	0	0	0	0	0	0.00075	0	0.03708	0	0	0	0	0.86871	0.06329	0	2.1894	0.00084	0	0.00162	0	0	0	0	0	0	0.00106	0.00058	1.40269	0.00066	0.72642	0	0	0.00043
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterellaceae_unclassified	0	0	0	0	0.05738	0	0	0	0.46399	0	0.03436	0	0	0.03618	0	0	0.00491	0	0	0	0	0.00673	0	0	0	0	0	0.05217	0	0	0	0	0	0	0.07787	0.01218	0	0	0	0	0	0.03881	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales|f__Gallionellaceae|g__Gallionellaceae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila	0.08208	0.26715	0.58852	1.39847	0.43671	0.53482	0.01781	0.01949	0.09176	0	0.14065	0.85395	0.41879	0.8473	0.00282	0.10482	0.99266	0.32271	0.03321	0.08967	0	0.03503	1.07583	0.02873	0	0	1.01321	0.01787	0.78963	0.03997	0	0	0.26868	0.43924	0.59988	0.35636	0	0.51615	0.07617	0	0.32305	0.28681	0.12936	0.55774
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	0.00114	0.07839	0.00351	0.40408	0.00095	0.16819	0.07494	0.07525	0.33904	0.00412	0.00228	0.00619	0.02149	0.35422	0	0.10752	0.12221	0	0.00121	0	0	0.08381	0.00314	0.00181	0.53567	0	0.0027	0	0.00129	0.19378	0	0	0.06961	0	0.00551	0.0012	0	0.40672	0	0	0.09646	0	0.03917	0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter	0	0	0	0	0	0	0.05881	0.22138	0	0	0	0	0	0	0.13095	0	0	0	0	0	0	0	0.02136	0	0	0.00014	0	0.00127	0	0	0	0	0	0.00038	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16045	0	0	0	0	0	0.03601	0	0.00136	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00766	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter	0.56817	0.00108	0	0	0	0.00051	0	0	0	0.0632	0	0	0	0	0	0.01159	0	0	0	6.86096	0.00845	0.00484	0.00302	0	0.00155	0	0	0.09008	0	0	0.00335	0.03827	0	0.00395	0	0	0	0	0	0	0	0.52139	0.02857	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	0.66421	1.02936	0.01309	0.01933	0.08316	0.70642	0.98254	1.00985	1.13212	1.75019	0.02104	0.02644	0.01064	0.56729	0.4199	3.18696	0.43683	0.03145	0.22528	0.85272	0.05842	1.31391	3.16481	1.76071	0.98772	0.204	0.01168	0.28155	0.01262	6.03916	4.90467	6.16577	0.94282	0.06704	0	0.0744	0.38847	1.8678	0.01262	0.01393	0.17225	0.16597	5.64919	0.01196
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella	7.2787	0.01091	0	0.00323	0	0.03909	0.00487	0.00306	0	0.03247	0	0	0	0	0	0.20284	0	1.0817	0.01728	0.21804	0	0.0669	0	0	0	0.02041	0.16141	0.17163	0.00623	0.29383	0.1238	1.47934	0	0.0323	0.0025	0	0	0	0	0	9.8279	0.10094	0.45565	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Pantoea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00769	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Raoultella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.29656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	0	0	0	0	0	0	0	0	0.02728	0.01615	0.03256	0	0.00122	0	0	0.0016	0	0.02193	0	0	0.00154	0	0	0.00077	0	0.18747	0	0.15863	0.28647	0	0.00179	0	0	0.06374	0.00242	0.00587	0	0	0.11127	0	0.051	0.01997	0.01074	0.01643
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas	0	0	0	0	0	0.01398	0	0	0.00576	0	0	0	0.01528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00535	0	0	0	0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Jonquetella	0	0	0	0	0	0	0.00379	0.04552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Pyramidobacter	0	0	0	0	0	0.0948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Synergistes	0	0	0.38234	0.29304	0	0.11394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30422	0	0	0	0	0	0	0	1.64085	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	0.01636	0.6406	20.1241	21.84071	0.02518	0.1328	10.66491	11.27992	9.87719	0.00638	0.10339	0.00285	0	0.01657	1.16093	0.01207	8.67109	0.12836	0.06546	0.03563	0.06119	0.54036	0.05655	0.00535	36.236	0	1.30853	0.02794	0.1101	0.5545	0.03327	0.06794	0.45898	0.00222	5.16203	0.05978	3.03102	2.8987	0.00787	0.00755	0.04641	8.83666	0.00185	0.00665
