family	SRR5930493	SRR5930494	SRR5930495	SRR5930496	SRR5930497	SRR5930498	SRR5930499	SRR5930500	SRR5930501	SRR5930502	SRR5930503	SRR5930504	SRR5930505	SRR5930506	SRR5930507	SRR5930508	SRR5930509	SRR5930510	SRR5930511	SRR5930512	SRR5930513	SRR5930514	SRR5930515	SRR5930516	SRR5930517	SRR5930518	SRR5930519	SRR5930520	SRR5930521	SRR5930522	SRR5930523	SRR5930524	SRR5930525	SRR5930526	SRR5930527	SRR5930528	SRR5930529	SRR5930530	SRR5930531	SRR5930532	SRR5930533	SRR5930534	SRR5930535	SRR5930536
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.03039	0.01721	0.00316	0.0186	0.00448	0.02602	0.19311	0.17811	0.20756	0.01314	0.04285	0	0.01461	1.23012	0	0.5547	0.05391	0.03578	0.00112	0.18697	0	0.01749	0	17.46801	0.36822	0	0.0268	2.38263	0.00616	0.00796	0.001	0	0	8.44696	0.0063	2.93516	0.03915	4.89685	26.88989	0.03571	1.0319	0.39516	0.66064	0.03383
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	1.26009	10.27522	5.67091	12.04444	3.93884	13.30926	3.59875	3.92604	6.5744	1.97087	7.35125	4.91711	8.18694	8.17299	0.08346	5.60926	21.89049	3.38443	0.43538	0.17867	0.01467	3.26146	0.00757	1.59753	0.70553	5.41529	4.82079	1.73829	1.2648	5.42071	7.42885	3.21779	6.91308	0.24718	14.35976	7.49294	9.32139	5.72496	0.60578	4.9625	2.73906	6.14542	5.08482	3.54963
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname	0	0	0	0	0.00058	0	0	0	0	0	0	0	0	0.00041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00567	0.00187	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	0	0	0	0	0.02571	0	0.00034	0	0.00023	0	0	0	0.01105	0.00591	0	0	0	0.02835	0.0002	0.00277	0	0	0	0	0	0.02298	0	0.00308	0.00608	0.05685	0.00357	0	0	0.00284	0	0.005	0	0	0.006	0.00335	0	0.00256	0	0.00258
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07377	0	0.10183	0	0	0	0	0.0008	0	0	0	0	0.00293	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	0	0	0	0	0	0	0	0.00863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03296	0	0	0	0	0	0	0	0	0.00096	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0	0	0	0.00064	0.00896	0	0	0	0.00239	0	0	0	0.00265	0	0	0.00255	0	0.00216	0.00238	0.00906	0.00207	0	0	0	0	0.01787	0	0.00546	0.00347	0.02617	0	0	0	0.00684	0	0	0	0	0.00284	0.00431	0	0.00495	0.00166	0.00363
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0	0.00279	0.00535	0	0	0.03199	0.00234	0.00228	0.01494	0	0	0	0	0	0	0.00253	0	0.00202	0.01725	6.90972	0.00559	0.00348	1.29318	0	0.11481	0	0	0	0	0.00106	0	0.15147	0.00968	0	0	0.00326	0	0	0	0.80522	0.00108	0.32995	0.00066	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.01524	0.01168	0.00262	0.0006	0	0.35056	0.14546	0.07064	0.4022	0.01982	0.08162	0.02177	0.01235	0.17031	0.06264	1.09504	0.04721	0.00299	0.00639	0.19556	0.00432	0.0172	0.00729	11.58487	9.46383	0.0953	0.52515	3.24135	0.00045	0.65596	2.91565	0.00846	0.0067	0.01381	0.12761	0.0057	0.022	0.04694	0.01822	7.32498	0	0.18447	0.98639	0.01349
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae	0	0	0.00491	0.01387	0	0.04577	0	0	0	0.00205	0	0	0	0	0.02881	0	0.01694	0	0.00765	0	0	0	0	0	0	0.00653	0	0.16778	0.00487	0	0.0036	0	0	0	0	0	0	0	0	0	0	0.30611	0	0
