"Type"	"Chaput"	"Frankel"	"Gopalakrishnan"	"Matson"	"Routy NSCLC"	"Routy RCC"
"lit-r"	"82.3529411764706"	"60.2777777777777"	"68.7179487179487"	"67.9086538461538"	"59.9416755037115"	"48.6772486772486"
"lit-nr"	"33.9869281045752"	"47.7777777777778"	"34.3589743589744"	"47.5961538461538"	"62.1951219512196"	"60.9523809523809"
"lit-agg"	"81.045751633987"	"55.5555555555556"	"54.1025641025641"	"64.9038461538461"	"62.1951219512195"	"56.0846560846561"
"lit-melanoma-r"	"82.3529411764706"	"61.9444444444444"	"70"	"57.4519230769231"	"52.3329798515377"	"45.5026455026455"
"lit-melanoma-nr"	"63.3986928104576"	"42.7777777777778"	"55.2564102564103"	"66.2259615384616"	"42.3913043478261"	"42.5396825396825"
"lit-melanoma-agg"	"83.0065359477124"	"53.8888888888888"	"69.7435897435897"	"58.0528846153846"	"52.6246023329798"	"43.2804232804233"
"re-analysis-r"	"77.7777777777777"	"60"	"67.051282051282"	"56.2499999999999"	"54.5334040296925"	"50.4761904761905"
"re-analysis-nr"	"72.5490196078432"	"71.3888888888889"	"62.3076923076923"	"73.5576923076923"	"70.3605514316012"	"71.6402116402116"
"re-analysis-agg"	"85.6209150326797"	"63.0555555555556"	"74.3589743589744"	"65.8653846153846"	"61.2937433722164"	"61.9047619047618"
