Taxon	SRR9207262	SRR9207263	SRR9207264	SRR9207265	SRR9207266	SRR9207267	SRR9207268	SRR9207269	SRR9207270	SRR9207271	SRR9207272	SRR9207273	SRR9207274	SRR9207275	SRR9207276	SRR9207277	SRR9207278	SRR9207279	SRR9207280	SRR9207281	SRR9207282	SRR9207283	SRR9207284	SRR9207285	SRR9207286	SRR9207287	SRR9207288	SRR9207289	SRR9207290	SRR9207291	SRR9207292	SRR9207293	SRR9207294	SRR9207295	SRR9207296	SRR9207297	SRR9207298	SRR9207299	SRR9207300	SRR9207301	SRR9207302	SRR9207303	SRR9207304	SRR9207305	SRR9207306	SRR9207307	SRR9207308	SRR9207309
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	163.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	18.0	0.0	0.0	0.0	104.0	0.0	592.0	0.0	0.0	0.0	6.0	76.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmatales_incertae_sedis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Incertae_sedis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	0.0	86.0	70.0	1.0	0.0	2.0	0.0	0.0	81.0	0.0	0.0	1.0	233.0	131.0	64.0	93.0	1.0	822.0	24.0	514.0	7.0	41.0	0.0	0.0	3.0	10.0	1.0	1.0	0.0	461.0	15.0	2.0	24.0	97.0	40.0	94.0	61.0	50.0	0.0	457.0	26.0	4.0	26.0	218.0	1.0	8.0	872.0	1.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae	19.0	5.0	40.0	65.0	50.0	84.0	90.0	208.0	64.0	14.0	7.0	4.0	30.0	39.0	105.0	182.0	4.0	39.0	15.0	14.0	192.0	1.0	54.0	12.0	205.0	363.0	15.0	39.0	25.0	15.0	10.0	10.0	7.0	346.0	9.0	437.0	240.0	11.0	11.0	2.0	50.0	58.0	36.0	37.0	19.0	29.0	105.0	5.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	3348.0	4414.0	2778.0	2955.0	722.0	1470.0	1835.0	821.0	2836.0	3645.0	3647.0	3513.0	1093.0	297.0	2846.0	3594.0	6841.0	3040.0	5551.0	3946.0	2828.0	5529.0	1989.0	750.0	2603.0	1222.0	2608.0	3155.0	1668.0	4727.0	5555.0	7612.0	1404.0	4120.0	5525.0	5385.0	3354.0	3756.0	2652.0	6416.0	3540.0	5417.0	1943.0	2031.0	3559.0	3407.0	2476.0	3140.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	482.0	625.0	462.0	574.0	203.0	23.0	196.0	197.0	282.0	312.0	346.0	747.0	436.0	374.0	261.0	388.0	395.0	205.0	188.0	159.0	27.0	1.0	569.0	525.0	969.0	876.0	796.0	672.0	805.0	457.0	84.0	72.0	399.0	227.0	143.0	298.0	234.0	12.0	94.0	3.0	117.0	690.0	322.0	190.0	396.0	436.0	174.0	511.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	29.0	1.0	1.0	1.0	1421.0	700.0	98.0	3611.0	0.0	0.0	1.0	2.0	693.0	294.0	0.0	0.0	76.0	26.0	0.0	4.0	0.0	0.0	1.0	0.0	1.0	0.0	96.0	232.0	22.0	12.0	0.0	0.0	1068.0	0.0	0.0	1.0	0.0	0.0	747.0	1.0	0.0	0.0	377.0	2.0	1.0	4.0	61.0	38.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	517.0	1784.0	805.0	972.0	219.0	58.0	202.0	32.0	109.0	878.0	390.0	1014.0	118.0	18.0	54.0	83.0	184.0	382.0	0.0	4.0	64.0	319.0	609.0	183.0	836.0	521.0	180.0	302.0	230.0	337.0	306.0	434.0	200.0	776.0	7.0	281.0	647.0	57.0	34.0	141.0	150.0	436.0	120.0	468.0	748.0	510.0	524.0	475.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__unassigned	210.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	3.0	0.0	1.0	1.0	1.0	1.0	1.0	3.0	0.0	0.0	0.0	0.0	6.0	0.0	1.0	5.0	0.0	3.0	132.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Sphingobacteriaceae	7.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	5.0	8.0	10.0	0.0	0.0	1.0	5.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	263.0	0.0	0.0	0.0	0.0	4.0
k__Bacteria;p__Bacteroidetes;c__unassigned;o__unassigned;f__unassigned	65.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	27.0	1.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	193.0	37.0	22.0	0.0	2.0	0.0	0.0	0.0	0.0	48.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	1.0	0.0	0.0	25.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillales_Incertae_Sedis_XI	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
