Taxon	SRR9207262	SRR9207263	SRR9207264	SRR9207265	SRR9207266	SRR9207267	SRR9207268	SRR9207269	SRR9207270	SRR9207271	SRR9207272	SRR9207273	SRR9207274	SRR9207275	SRR9207276	SRR9207277	SRR9207278	SRR9207279	SRR9207280	SRR9207281	SRR9207282	SRR9207283	SRR9207284	SRR9207285	SRR9207286	SRR9207287	SRR9207288	SRR9207289	SRR9207290	SRR9207291	SRR9207292	SRR9207293	SRR9207294	SRR9207295	SRR9207296	SRR9207297	SRR9207298	SRR9207299	SRR9207300	SRR9207301	SRR9207302	SRR9207303	SRR9207304	SRR9207305	SRR9207306	SRR9207307	SRR9207308	SRR9207309
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	163.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	18.0	0.0	0.0	0.0	104.0	0.0	592.0	0.0	0.0	0.0	6.0	76.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	3.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	14.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	1.0	1.0	15.0	2.0	1.0	1.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	0.0	86.0	70.0	1.0	0.0	2.0	0.0	0.0	81.0	0.0	0.0	1.0	233.0	131.0	64.0	93.0	1.0	822.0	24.0	514.0	7.0	41.0	0.0	0.0	3.0	10.0	1.0	1.0	0.0	461.0	15.0	2.0	24.0	97.0	40.0	94.0	61.0	50.0	0.0	457.0	26.0	4.0	26.0	218.0	1.0	8.0	872.0	1.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales	19.0	5.0	40.0	65.0	50.0	84.0	90.0	208.0	64.0	14.0	7.0	4.0	30.0	39.0	105.0	182.0	4.0	39.0	15.0	14.0	192.0	1.0	54.0	12.0	205.0	363.0	15.0	39.0	25.0	15.0	10.0	10.0	7.0	346.0	9.0	437.0	240.0	11.0	11.0	2.0	50.0	58.0	36.0	37.0	19.0	29.0	105.0	5.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	4586.0	6827.0	4046.0	4502.0	2565.0	2251.0	2331.0	4661.0	3227.0	4836.0	4384.0	5276.0	2340.0	983.0	3163.0	4065.0	7574.0	3653.0	5739.0	4113.0	2919.0	5849.0	3168.0	1458.0	4409.0	2619.0	3681.0	4362.0	2725.0	5536.0	5945.0	8119.0	3072.0	5124.0	5676.0	5966.0	4238.0	3825.0	3527.0	6561.0	3807.0	6549.0	2762.0	2692.0	4709.0	4357.0	3238.0	4296.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales	7.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	5.0	8.0	10.0	0.0	0.0	1.0	5.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	263.0	0.0	0.0	0.0	0.0	4.0
k__Bacteria;p__Bacteroidetes;c__unassigned;o__unassigned	65.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	27.0	1.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	193.0	37.0	22.0	0.0	2.0	0.0	0.0	0.0	0.0	48.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	1.0	0.0	0.0	25.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	12.0	208.0	2.0	119.0	31.0	1.0	8.0	1.0	2.0	12.0	1.0	0.0	264.0	184.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	597.0	0.0	1.0	0.0	40.0	55.0	209.0	2.0	0.0	0.0	85.0	26.0	1.0	0.0	5.0	0.0	2.0	0.0	0.0	2.0	16.0	3.0	0.0	0.0	0.0	3.0
