Taxon	SRR9207262	SRR9207263	SRR9207264	SRR9207265	SRR9207266	SRR9207267	SRR9207268	SRR9207269	SRR9207270	SRR9207271	SRR9207272	SRR9207273	SRR9207274	SRR9207275	SRR9207276	SRR9207277	SRR9207278	SRR9207279	SRR9207280	SRR9207281	SRR9207282	SRR9207283	SRR9207284	SRR9207285	SRR9207286	SRR9207287	SRR9207288	SRR9207289	SRR9207290	SRR9207291	SRR9207292	SRR9207293	SRR9207294	SRR9207295	SRR9207296	SRR9207297	SRR9207298	SRR9207299	SRR9207300	SRR9207301	SRR9207302	SRR9207303	SRR9207304	SRR9207305	SRR9207306	SRR9207307	SRR9207308	SRR9207309
k__Archaea;p__Euryarchaeota;c__Methanobacteria	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	163.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	18.0	0.0	0.0	0.0	104.0	0.0	592.0	0.0	0.0	0.0	6.0	76.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	19.0	91.0	110.0	66.0	52.0	86.0	90.0	208.0	148.0	14.0	7.0	5.0	265.0	173.0	170.0	276.0	5.0	861.0	39.0	530.0	199.0	42.0	54.0	13.0	209.0	373.0	17.0	40.0	25.0	477.0	25.0	12.0	45.0	443.0	51.0	531.0	301.0	62.0	11.0	459.0	76.0	65.0	63.0	256.0	35.0	39.0	978.0	7.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	4586.0	6827.0	4046.0	4502.0	2565.0	2251.0	2331.0	4661.0	3227.0	4836.0	4384.0	5276.0	2340.0	983.0	3163.0	4065.0	7574.0	3653.0	5739.0	4113.0	2919.0	5849.0	3168.0	1458.0	4409.0	2619.0	3681.0	4362.0	2725.0	5536.0	5945.0	8119.0	3072.0	5124.0	5676.0	5966.0	4238.0	3825.0	3527.0	6561.0	3807.0	6549.0	2762.0	2692.0	4709.0	4357.0	3238.0	4296.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteria	7.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	5.0	8.0	10.0	0.0	0.0	1.0	5.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	263.0	0.0	0.0	0.0	0.0	4.0
k__Bacteria;p__Bacteroidetes;c__unassigned	65.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	27.0	1.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	193.0	37.0	22.0	0.0	2.0	0.0	0.0	0.0	0.0	48.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	1.0	0.0	0.0	25.0
k__Bacteria;p__Firmicutes;c__Bacilli	12.0	215.0	196.0	137.0	82.0	7.0	24.0	11.0	95.0	18.0	22.0	4.0	289.0	207.0	176.0	47.0	3.0	3.0	0.0	9.0	10.0	277.0	650.0	8.0	15.0	9.0	55.0	76.0	226.0	20.0	3.0	8.0	111.0	27.0	7.0	14.0	9.0	3.0	27.0	18.0	27.0	85.0	25.0	14.0	2.0	133.0	1.0	5.0
k__Bacteria;p__Firmicutes;c__Clostridia	4001.0	2485.0	4450.0	3859.0	5652.0	6599.0	7100.0	4514.0	5754.0	4573.0	5206.0	3596.0	4914.0	7225.0	5459.0	4282.0	1068.0	3322.0	3771.0	4658.0	5644.0	2909.0	4213.0	7645.0	4744.0	6200.0	4735.0	3906.0	4500.0	2986.0	2844.0	1099.0	5044.0	3527.0	2880.0	2146.0	4303.0	4453.0	5809.0	2517.0	5684.0	2178.0	5382.0	4572.0	3606.0	4724.0	3876.0	4193.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia	57.0	102.0	124.0	294.0	208.0	190.0	194.0	45.0	140.0	64.0	68.0	18.0	66.0	50.0	85.0	276.0	39.0	639.0	145.0	296.0	193.0	21.0	78.0	46.0	17.0	139.0	120.0	51.0	231.0	136.0	800.0	238.0	56.0	61.0	124.0	138.0	483.0	1242.0	107.0	9.0	110.0	88.0	306.0	181.0	198.0	63.0	409.0	27.0
k__Bacteria;p__Firmicutes;c__Incertae_sedis	2.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	9.0	1.0	8.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Negativicutes	54.0	21.0	81.0	123.0	94.0	185.0	173.0	196.0	83.0	62.0	55.0	87.0	191.0	94.0	156.0	128.0	76.0	142.0	59.0	212.0	134.0	118.0	70.0	33.0	51.0	82.0	166.0	182.0	171.0	47.0	9.0	56.0	95.0	39.0	217.0	88.0	123.0	133.0	43.0	128.0	66.0	453.0	88.0	138.0	215.0	167.0	120.0	59.0
k__Bacteria;p__Firmicutes;c__unassigned	120.0	0.0	40.0	14.0	139.0	3.0	0.0	0.0	1.0	0.0	2.0	1.0	164.0	146.0	0.0	0.0	38.0	64.0	0.0	0.0	39.0	0.0	140.0	0.0	4.0	2.0	75.0	40.0	36.0	2.0	65.0	85.0	123.0	3.0	0.0	0.0	5.0	8.0	1.0	0.0	1.0	2.0	113.0	0.0	99.0	83.0	51.0	112.0
k__Bacteria;p__Fusobacteria;c__Fusobacteria	462.0	0.0	153.0	16.0	1.0	0.0	0.0	32.0	10.0	2.0	0.0	0.0	0.0	0.0	114.0	190.0	335.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	5.0	60.0	0.0	0.0	0.0	1.0	488.0
k__Bacteria;p__Lentisphaerae;c__Lentisphaeria	15.0	0.0	15.0	0.0	8.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	5.0	12.0	0.0	10.0	4.0	9.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	3.0	0.0	0.0	22.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	199.0	1.0	169.0	91.0	269.0	80.0	2.0	41.0	143.0	187.0	113.0	116.0	6.0	4.0	125.0	49.0	218.0	114.0	58.0	30.0	10.0	0.0	237.0	117.0	20.0	89.0	51.0	64.0	93.0	63.0	244.0	292.0	3.0	192.0	38.0	3.0	70.0	124.0	239.0	0.0	0.0	162.0	157.0	6.0	694.0	74.0	255.0	267.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	124.0	127.0	135.0	101.0	136.0	89.0	0.0	78.0	123.0	218.0	94.0	154.0	160.0	85.0	105.0	234.0	191.0	318.0	135.0	34.0	91.0	1.0	115.0	139.0	162.0	120.0	113.0	138.0	185.0	230.0	0.0	1.0	45.0	21.0	30.0	198.0	11.0	0.0	212.0	0.0	1.0	243.0	195.0	195.0	169.0	144.0	253.0	167.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	34.0	52.0	71.0	47.0	129.0	0.0	6.0	0.0	31.0	0.0	30.0	17.0	62.0	87.0	38.0	75.0	41.0	59.0	0.0	0.0	9.0	119.0	98.0	138.0	45.0	93.0	250.0	213.0	115.0	228.0	35.0	80.0	155.0	126.0	2.0	91.0	125.0	46.0	0.0	161.0	12.0	100.0	189.0	58.0	72.0	99.0	59.0	71.0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	13.0	9.0	2.0	41.0	60.0	4.0	0.0	3.0	6.0	7.0	2.0	0.0	160.0	61.0	202.0	114.0	312.0	18.0	34.0	17.0	737.0	645.0	5.0	1.0	1.0	1.0	297.0	329.0	279.0	51.0	2.0	4.0	881.0	15.0	947.0	797.0	41.0	94.0	7.0	142.0	1.0	41.0	47.0	8.0	23.0	96.0	23.0	9.0
k__Bacteria;p__Proteobacteria;c__unassigned	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	43.0	154.0	32.0	53.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Synergistetes;c__Synergistia	1.0	9.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	28.0	2.0	0.0	0.0	2.0	20.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	523.0	17.0	19.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__Opitutae	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	14.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	8.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	39.0	0.0	283.0	83.0	505.0	2.0	62.0	206.0	154.0	0.0	4.0	721.0	812.0	359.0	118.0	179.0	83.0	351.0	0.0	1.0	3.0	0.0	334.0	7.0	132.0	32.0	267.0	540.0	703.0	0.0	0.0	1.0	82.0	44.0	0.0	23.0	139.0	0.0	1.0	1.0	115.0	23.0	125.0	1488.0	132.0	9.0	235.0	105.0
k__Bacteria;p__unassigned;c__unassigned	184.0	59.0	121.0	622.0	84.0	504.0	17.0	4.0	67.0	18.0	13.0	5.0	126.0	249.0	56.0	32.0	1.0	456.0	18.0	98.0	10.0	19.0	225.0	174.0	122.0	176.0	54.0	44.0	77.0	207.0	27.0	3.0	127.0	272.0	27.0	4.0	141.0	10.0	15.0	4.0	97.0	5.0	92.0	392.0	42.0	12.0	501.0	141.0
