#OTU_ID	SRR9207262	SRR9207263	SRR9207264	SRR9207265	SRR9207266	SRR9207267	SRR9207268	SRR9207269	SRR9207270	SRR9207271	SRR9207272	SRR9207273	SRR9207274	SRR9207275	SRR9207276	SRR9207277	SRR9207278	SRR9207279	SRR9207280	SRR9207281	SRR9207282	SRR9207283	SRR9207284	SRR9207285	SRR9207286	SRR9207287	SRR9207288	SRR9207289	SRR9207290	SRR9207291	SRR9207292	SRR9207293	SRR9207294	SRR9207295	SRR9207296	SRR9207297	SRR9207298	SRR9207299	SRR9207300	SRR9207301	SRR9207302	SRR9207303	SRR9207304	SRR9207305	SRR9207306	SRR9207307	SRR9207308	SRR9207309	taxonomy
Actinomyces_naeslundii:Actinomyces_oris:Actinomyces_viscosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces
Actinomyces_odontolyticus	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces
Actinomyces_turicensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces
Adlercreutzia_equolifaciens:Asaccharobacter_celatus	7	0	1	20	0	3	0	1	5	3	0	3	4	0	4	1	2	0	0	0	2	0	2	0	3	16	2	13	0	3	4	10	1	1	0	2	8	8	0	0	16	0	0	27	1	0	0	1	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Coriobacteriales; f__Coriobacteriaceae; g__unassigned
Aeromonas_allosaccharophila:Aeromonas_aquariorum:Aeromonas_bivalvium:Aeromonas_caviae:Aeromonas_hydrophila:Aeromonas_jandaei:Aeromonas_media:Aeromonas_molluscorum:Aeromonas_piscicola:Aeromonas_popoffii:Aeromonas_rivuli:Aeromonas_salmonicida:Aeromonas_sobria:Aeromonas_veronii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas
Akkermansia_muciniphila	39	0	234	78	501	2	62	205	0	0	4	706	804	353	0	1	79	344	0	1	3	0	329	5	121	25	260	521	680	0	0	1	81	43	0	21	131	0	1	1	113	23	23	1466	130	9	235	104	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia
Alistipes_finegoldii	2	70	142	81	98	12	199	2	0	0	0	0	18	2	0	0	23	24	0	0	11	0	80	0	2	2	61	111	74	24	4	10	103	3	1	5	6	1	24	0	0	172	0	131	28	27	26	19	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes
Alistipes_finegoldii:Alistipes_senegalensis	204	206	167	97	16	1	1	0	0	1	0	0	23	0	0	0	54	136	0	0	25	0	183	31	100	47	0	0	0	106	128	210	18	101	0	103	205	30	0	1	1	0	28	156	187	196	213	144	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes
Alistipes_indistinctus	4	14	1	27	4	2	0	2	0	0	0	0	0	1	0	0	2	0	0	0	1	0	11	1	7	4	0	0	0	2	0	0	0	17	0	6	28	0	0	0	5	0	7	0	0	0	0	2	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes
Alistipes_massiliensis	0	2	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	31	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes
