kegglevel3	SRR6000915	SRR6000939	SRR6000948	SRR6000918	SRR6000925	SRR6000937	SRR6000938	SRR6000930	SRR6000927	SRR6000872	SRR6000881	SRR6000883	SRR6000885	SRR6000887	SRR6000904	SRR6000913	SRR6000917	SRR6000919	SRR6000922	SRR6000935	SRR6000936	SRR6000941	SRR6000875	SRR6000876	SRR6000897	SRR6000889	SRR6000914	SRR6000916	SRR6000933	SRR6000929	SRR6000879	SRR6000882	SRR6000880	SRR6000884	SRR6000886	SRR6000888	SRR6000898	SRR6000924	SRR6000923	SRR6000926	SRR6000928	SRR6000934
Cellular_Processes;Cell_Motility;Bacterial_chemotaxis	0.00307036632097	0.00401205604767	0.00341970606516	0.00245512189208	0.00312250620933	0.00424605499405	0.00356496637607	0.00337890735263	0.0033356209975	0.00303275480458	0.00436567602483	0.00356024965587	0.00576960709387	0.00283836926234	0.00376162575183	0.00180439541068	0.00318856799611	0.00293409595238	0.00285690238839	0.00445528131321	0.00096030147205	0.00312721509257	0.003074747555	0.00247947628623	0.00294024688911	0.00417945827499	0.00302259509366	0.00262105068141	0.00415320426942	0.00351815164293	0.00392833161306	0.00250976114319	0.00265218361524	0.00223859189218	0.00313044024136	0.00244613142411	0.00449964455391	0.00432313764161	0.00130937025918	0.00299615271906	0.00356655486905	0.00213488912122
Cellular_Processes;Cell_Motility;Bacterial_motility_proteins	0.00568749375458	0.00734605919554	0.00497947345871	0.00490365206891	0.00658779036673	0.0080857825408	0.00648672668647	0.00574103476318	0.00549858528155	0.00573431764198	0.00877606550496	0.00566463411263	0.0125188914342	0.00419320088693	0.00643965616318	0.00398931477733	0.0052122937608	0.00346715212839	0.00475505707004	0.00776873189232	0.0012821007523	0.00489091714464	0.00533456142917	0.00369348480017	0.00532224455285	0.00712482141454	0.00517828147027	0.00539997039425	0.0094016248274	0.00678858029811	0.00758780336745	0.00422991298278	0.00318848433475	0.00494539085399	0.00529463600316	0.0041578214735	0.00887140374379	0.00753513336911	0.00209859646626	0.00604190179648	0.0103005650856	0.00473849328033
Cellular_Processes;Cell_Motility;Cytoskeleton_proteins	0.00358921641008	0.00399355811368	0.00391614777485	0.00355009757825	0.00325693116589	0.00410320550086	0.00352314840752	0.00424044917545	0.00366364467254	0.00370316886202	0.00377785466077	0.0039797887102	0.00406286316419	0.0038708376189	0.00384559663437	0.00377445851716	0.00370826436822	0.0039352075946	0.00389414654522	0.00399966115395	0.00323837827724	0.00375123740747	0.00358593761839	0.00379577914796	0.00364354242485	0.00362636638644	0.00387255672302	0.00332714293228	0.0029568141823	0.00300093646895	0.0040671932983	0.00352434203793	0.00376487694308	0.00305984978152	0.00384334013177	0.00345053316518	0.00382240642642	0.00425239893013	0.00326746980003	0.00416595013486	0.00212966360757	0.00278552437862
Cellular_Processes;Cell_Motility;Flagellar_assembly	0.00214869822617	0.00287938379928	0.00154399406206	0.00194764325737	0.00214345772176	0.00321394652133	0.00270828483139	0.00223568665632	0.00212936140474	0.00211630857266	0.00372628596577	0.00225862269126	0.00484529387883	0.00152763611238	0.00246543906857	0.00152866448312	0.00196128193805	0.00115108745684	0.00177226281178	0.0033657445574	0.000374825783063	0.00168512844429	0.002084607359	0.00140181400127	0.00211473640668	0.00281682809995	0.00153217652709	0.00236888499085	0.00411646429394	0.00261702485085	0.00315309295142	0.00137282167545	0.00108987473293	0.00128171186492	0.00176762466793	0.00148510916023	0.00344251166855	0.00274792686889	0.000688434934499	0.00211587134575	0.0032714044454	0.00122084789456
Cellular_Processes;Cell_Motility;Regulation_of_actin_cytoskeleton	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cellular_Processes;Transport_and_Catabolism;Endocytosis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.93521001966e-08	0.0	0.0	0.0	0.0	7.93519988808e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cellular_Processes;Transport_and_Catabolism;Lysosome	0.00283116453386	0.00191257891748	0.00142909968154	0.00251302885895	0.00200630101333	0.00149248482182	0.00207100864014	0.00122505279558	0.00263424233931	0.00206057007126	0.00183195473022	0.00194235138676	0.00140934886252	0.00206126184025	0.0021785216916	0.00271392557281	0.00235576960893	0.000865696993715	0.00192968078299	0.00245675217008	0.0035883289274	0.00261496445958	0.00323775844093	0.00314449357501	0.0026490350839	0.00127701574636	0.00160942665143	0.00279137933146	0.00181232030244	0.00257984673173	0.00222995529836	0.00241183170677	0.00269839445689	0.00277862909791	0.0017569361228	0.00349175348287	0.00176000747516	0.00107998251408	0.00398430954771	0.00209600400917	0.00162229301071	0.00376929439344
Cellular_Processes;Transport_and_Catabolism;Peroxisome	0.0021291155244	0.00179360880262	0.00143208705493	0.00211285333575	0.00162590456557	0.00173967292144	0.00191423758524	0.00161671678614	0.00206401730148	0.00174867739149	0.00176290826195	0.00187800253194	0.00179955819113	0.00189161945238	0.00187386588724	0.00201573820196	0.00191898387039	0.00140282358216	0.00189716284925	0.00190458928167	0.00254102516126	0.00208654969879	0.00200316229044	0.00221156912317	0.00217039718216	0.00172691673413	0.0016081230293	0.00206737637881	0.00188873627736	0.00200506120751	0.00188422040576	0.00192207807967	0.00202728555795	0.001781216351	0.00165995712798	0.00230277631925	0.00169834139018	0.00155390324181	0.00256361074655	0.00176229034111	0.00125869280796	0.00200443687719
Cellular_Processes;Transport_and_Catabolism;Phagosome	0.0	0.0	0.0	0.0	9.33348555262e-06	0.0	0.0	0.0	0.0	1.0796804146e-06	0.0	0.0	0.0	0.0	0.0	0.0	1.60523975941e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.11840634241e-06	2.01851168657e-06	0.0	0.0	0.0	5.79314498313e-08	6.38670237472e-07	0.0	0.0	0.0	0.0	9.89824799031e-07	0.0	0.0	0.0	0.0	0.0
Environmental_Information_Processing;Membrane_Transport;ABC_transporters	0.024846056172	0.0307442570823	0.0343221121017	0.0256917525377	0.0321057106021	0.0317619582778	0.031336112509	0.0332322088169	0.0272389035334	0.0302771404664	0.0314343001856	0.0302874138284	0.0315583417142	0.0296797262818	0.0298523569312	0.0242432408115	0.0288333968206	0.0398517715253	0.0287079512653	0.0292214491442	0.020369457608	0.0284270469784	0.0270093944381	0.0264524861133	0.0261455674027	0.037384645897	0.0316006835522	0.0272734680279	0.0316544645775	0.0320527842739	0.0269864390007	0.0281631753492	0.0289923633557	0.0284923356105	0.0302428473951	0.0245576258406	0.030691794491	0.0328070105901	0.0194716521492	0.0282412029989	0.0379723025523	0.0253143642679
