kegglevel2	SRR6000915	SRR6000939	SRR6000948	SRR6000918	SRR6000925	SRR6000937	SRR6000938	SRR6000930	SRR6000927	SRR6000872	SRR6000881	SRR6000883	SRR6000885	SRR6000887	SRR6000904	SRR6000913	SRR6000917	SRR6000919	SRR6000922	SRR6000935	SRR6000936	SRR6000941	SRR6000875	SRR6000876	SRR6000897	SRR6000889	SRR6000914	SRR6000916	SRR6000933	SRR6000929	SRR6000879	SRR6000882	SRR6000880	SRR6000884	SRR6000886	SRR6000888	SRR6000898	SRR6000924	SRR6000923	SRR6000926	SRR6000928	SRR6000934
Cellular_Processes;Cell_Communication	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cellular_Processes;Cell_Growth_and_Death	0.00525685733142	0.00484477009678	0.00526793423309	0.00507895831875	0.00501230938774	0.00523271894964	0.00508678216785	0.00508310666767	0.00523059999198	0.00529515763334	0.0049221856184	0.00542238610419	0.00527937904014	0.00513670313479	0.00513537590088	0.00502166359085	0.00507873781282	0.00534596218654	0.00517474386637	0.00489055177956	0.00513798903601	0.00513649591138	0.00503317241341	0.00506603221516	0.00515988818899	0.00513516477149	0.00524670060598	0.00480693502373	0.00477341949268	0.00432728390038	0.00490488206286	0.00506598554615	0.00509798005081	0.0049744649567	0.00532305189143	0.00506473389177	0.00517381422453	0.00541617961011	0.00490929854467	0.00503845733299	0.00442740411471	0.00507244101914
Cellular_Processes;Cell_Motility	0.0144957747118	0.0182310571562	0.0138593213608	0.0128565147966	0.0151106854637	0.019648989557	0.0162831263014	0.0155960779476	0.0146272123563	0.0145865498812	0.0206458821563	0.01546329517	0.0271966555711	0.0124300438805	0.0165123176179	0.0110968331883	0.0140704080632	0.0114875431322	0.0132783688154	0.0195894189169	0.00585560628465	0.013454498089	0.0140798539616	0.0113705542356	0.0140207702735	0.0177474741759	0.013605609814	0.0137170489988	0.0206281075731	0.0159246932608	0.0187364212302	0.0116368378393	0.010695419626	0.0115255443926	0.0140360410442	0.011539595223	0.0206359663927	0.0188585968097	0.00736387145997	0.0153198759961	0.0192681880076	0.0108797546747
Cellular_Processes;Transport_and_Catabolism	0.00496028005826	0.0037061877201	0.00286118673647	0.0046258821947	0.00364153906445	0.00323215774327	0.00398524622537	0.00284176958172	0.00469825964079	0.00381032714317	0.00359486299217	0.0038203539187	0.00320890705366	0.00395288129263	0.00405238757884	0.00472966377478	0.00427491400329	0.00226852057587	0.00382684363224	0.00436134145176	0.00612935408866	0.00470151415836	0.00524092073137	0.00535613205028	0.00481943226606	0.00300705088684	0.00321956819241	0.00485875571028	0.0037011359318	0.00458490793924	0.00411423363557	0.00433454845668	0.00472568001484	0.00455984544891	0.00341689325079	0.00579452980213	0.00345933869013	0.00263388575589	0.00654792029426	0.00385829435028	0.00288098581867	0.00577373127063
Environmental_Information_Processing;Membrane_Transport	0.0962448613709	0.114144456737	0.126732385296	0.0999419178103	0.121406508467	0.117553938841	0.114660237036	0.122101026014	0.102775849155	0.112778152667	0.117627637461	0.112087689135	0.115364816839	0.110392668714	0.112195485833	0.095418635164	0.108112335963	0.144516216586	0.107518316311	0.107541146606	0.0791928371266	0.108145915829	0.103688749188	0.0978075443156	0.100320415059	0.135060956906	0.117344452754	0.104305414136	0.117798359747	0.117749201261	0.103772316426	0.104628342088	0.106540210858	0.105921060733	0.113753858239	0.0931996617317	0.113085701605	0.120288916372	0.0756821812942	0.106996404948	0.135132164961	0.0988387749096
Environmental_Information_Processing;Signal_Transduction	0.0142699330857	0.0156779584913	0.014510389517	0.0139360541876	0.0165536195655	0.0152435446022	0.0156889652388	0.0146827405198	0.0145499536587	0.0150240228892	0.0160727579321	0.0145077920714	0.0166872902552	0.0138055573479	0.0149275948419	0.0139985765868	0.0141045996701	0.013094432855	0.0139684716316	0.0158438923	0.0129819071631	0.0144774046876	0.0142228809204	0.0141447769477	0.0146555717182	0.0159185572052	0.0147430411494	0.0156177779785	0.0182322326709	0.0183970053976	0.0147793556181	0.0143613518499	0.0134075817267	0.0168547134023	0.014787836811	0.0144725843994	0.0166913166036	0.0140239638698	0.0137709894007	0.0142704343295	0.021565596055	0.0161539401518
Environmental_Information_Processing;Signaling_Molecules_and_Interaction	0.00214110306614	0.00186514438136	0.00173536520132	0.00232445573918	0.00198939829864	0.00169548147004	0.00189033277899	0.00168105237963	0.00205042721733	0.00192803930037	0.00175932624481	0.00180331584563	0.00159906640536	0.00197827808276	0.00196822352955	0.00223128187996	0.00208199596796	0.00155456184339	0.00199917989629	0.00204005671412	0.00276708551537	0.00192512587543	0.00223270576758	0.00222516213481	0.00219016944155	0.00169204728139	0.00176333816753	0.00217753073437	0.00182977774219	0.00201148705526	0.00209555433475	0.00205369737111	0.0021872706787	0.00225934282038	0.00189552223475	0.0023112820991	0.00181781324342	0.00156049024734	0.0028951529477	0.00196254733519	0.00175682841033	0.00251836618758
Genetic_Information_Processing;Folding_Sorting_and_Degradation	0.0260228484376	0.0243802002413	0.0243200275125	0.0255081023445	0.0241524995928	0.0251155305718	0.0249650801432	0.0240944728043	0.0261048761687	0.0251813863097	0.0245631266909	0.0252538296967	0.0247429190994	0.0247818898846	0.0254924807953	0.0257593026345	0.0248255144513	0.023381623951	0.0256293034899	0.025308865746	0.0275247592512	0.0250549779679	0.024954491285	0.0255314902227	0.0259938059853	0.0232005462994	0.0251199153638	0.0265547037786	0.0250676932064	0.0254670771691	0.0250079641261	0.0249551347464	0.0250765522429	0.0257584008195	0.0253620405757	0.0260656351773	0.0247974867952	0.0251116125127	0.0274764644743	0.025243754584	0.0247041273998	0.026061056403
Genetic_Information_Processing;Replication_and_Repair	0.088165715777	0.0864536635964	0.0875421092684	0.088042202998	0.0858578799261	0.0897109854017	0.0865899410923	0.0894047158387	0.0880774284806	0.0871381721011	0.086203095184	0.089218470996	0.0895163046424	0.0877711767755	0.0875173539824	0.0903143286746	0.0865659250298	0.0872732093133	0.0894819857732	0.0857103036647	0.0867745349503	0.0881795212678	0.085677555653	0.0873826753183	0.0881640569274	0.0847456406664	0.0892193940117	0.0858219238741	0.082740646641	0.0792255227329	0.0877074619357	0.0868868280065	0.0860129088233	0.0840104748861	0.0904783259507	0.0876578190199	0.0877871654961	0.0925038387923	0.0870202831746	0.090419919913	0.0772744443101	0.0842635195365
Genetic_Information_Processing;Transcription	0.027188568241	0.027985455251	0.0303609147361	0.0270222777447	0.0283042502303	0.0291205792572	0.0277834382684	0.0291356473363	0.0273341272052	0.0277855754697	0.0286708974818	0.027736954707	0.0301957245078	0.0285001775476	0.0278232292193	0.0272609286832	0.0282374515599	0.0302176508273	0.027666385553	0.0269991916913	0.0244554105356	0.0279015316127	0.0283312919742	0.0265746845138	0.0273856984338	0.029475857128	0.0290479391059	0.0270842375701	0.0276006090107	0.026921679276	0.027539742278	0.0278350052922	0.0274086381385	0.0272787483587	0.0282262578345	0.0263755072798	0.0283972816244	0.0297890164948	0.0241787572925	0.0290000488765	0.028293769755	0.0276092856483
Genetic_Information_Processing;Translation	0.0541121294523	0.0538358958473	0.0553997042859	0.054170549034	0.0553334552757	0.0572970152559	0.0539809439779	0.0574706188811	0.054339206825	0.0545519326279	0.0546849881491	0.0565631409317	0.0579090894045	0.0543805980386	0.0542195604539	0.0546533833101	0.0534631522832	0.0571449397073	0.055495856691	0.0525755612493	0.052107579004	0.055454483447	0.0523745524068	0.0535567432642	0.0540129628425	0.0544972692399	0.0571328378756	0.0508870646717	0.050549762551	0.0470335336143	0.0539724145498	0.0526458537874	0.052273512857	0.0507696542074	0.0571980547265	0.0521944094126	0.0560535804042	0.059251374794	0.0510691052453	0.0561178835614	0.0479650098619	0.050845481881
Human_Diseases;Cancers	0.00107247320007	0.000904403137679	0.000944248980604	0.00100118976288	0.000932039590825	0.00102651144579	0.00103408362099	0.000953336521696	0.00122254907719	0.00107900561434	0.00105688033234	0.0011248334614	0.00112006693012	0.000933759561613	0.000942699618685	0.0010771073519	0.00096699643107	0.000858479355183	0.000950883892698	0.000925201154348	0.000959694761491	0.00110916360352	0.00111312285327	0.000935351775351	0.00111881143204	0.000911368428143	0.00116257862681	0.00103967022221	0.00103863831335	0.00096145107707	0.000994856787953	0.000998081913609	0.000987637229468	0.00117202838727	0.0010987302999	0.00110705996084	0.00102357782468	0.00105414999677	0.00107800847441	0.00111185101743	0.00123390608277	0.00122447504228
Human_Diseases;Cardiovascular_Diseases	0.0	0.0	0.0	3.58789564163e-06	5.69114972721e-08	1.75429202162e-06	4.32386676239e-07	2.3791282646e-06	3.31374654698e-05	9.58216367955e-06	4.07608846693e-06	2.90233236957e-05	1.10987683288e-05	0.0	5.39571936e-07	1.10750649572e-05	0.0	0.0	0.0	0.0	0.0	1.97883717004e-05	0.0	0.0	0.0	0.0	2.15307913234e-05	0.0	0.0	6.55698749963e-08	0.0	0.0	0.0	0.0	2.03343053653e-05	1.91052901043e-05	0.0	1.14556617775e-07	1.38969784914e-05	2.879324142e-07	3.32459801362e-07	3.68968475459e-06
