class	SRR6000869	SRR6000870	SRR6000871	SRR6000873	SRR6000874	SRR6000877	SRR6000878	SRR6000890	SRR6000891	SRR6000892	SRR6000893	SRR6000894	SRR6000895	SRR6000896	SRR6000899	SRR6000900	SRR6000901	SRR6000902	SRR6000903	SRR6000905	SRR6000906	SRR6000907	SRR6000908	SRR6000909	SRR6000910	SRR6000911	SRR6000912	SRR6000920	SRR6000921	SRR6000931	SRR6000932	SRR6000940	SRR6000942	SRR6000943	SRR6000944	SRR6000945	SRR6000946	SRR6000947	SRR6000949
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0	0	0	0	0	0	0	0.01021	0	1.60429	0	0	0	0	0	0	0	0	0	0	0	1.40483	0.03236	0.30926	0	0.1995	0	0	0	0	0.67978	0	0.1801	0	0	0	3.39755	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2.17432	1.192	0	3.58224	2.4493	0.07273	3.18374	1.32422	0.06756	0.98041	0.20078	2.60057	1.16119	0.27197	1.30251	2.10004	9.84884	0.23258	34.16885	4.09071	0.49776	1.43483	0.6742	3.43888	1.88985	0.5039	0.14187	2.48298	0.21464	1.64135	2.57581	2.55627	0.97585	2.50564	0.10039	0	4.42486	0.30737	2.41392
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	57.72157	61.52112	96.80846	70.67972	52.31878	77.26292	75.46603	73.784	80.26935	34.60285	46.5698	51.63652	78.36689	86.65217	63.0971	63.05015	48.02504	69.7595	15.80037	47.00051	30.57526	40.58978	66.42192	48.89658	64.24655	76.44644	66.80389	64.21512	74.15447	53.76834	66.2941	46.38633	76.30783	49.38773	88.16037	73.21428	44.45333	48.16082	67.48972
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0	0	0	0	0	0	0	0	0	0	0	0.00716	0	0	0	0	0.00223	0	0	0	0	0.00181	0	0	0	0	0	0.00222	0	0	0	0	0.00255	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli	0.18161	0.64523	0.07209	2.69331	0.09105	0.03728	0.68164	0.62493	0.58422	0.23547	4.94118	6.29868	0.01003	0.02059	0.33078	0.28578	0.09454	0.46254	3.7922	0.05271	0.07111	11.70666	0.23446	0.81627	1.218	0.03089	0.01632	2.32602	0.01997	0.76334	0.13919	2.61428	2.44043	0.14425	0.01556	0.19025	21.97443	0.25688	0.03989
k__Bacteria|p__Firmicutes|c__Clostridia	35.97139	24.56056	2.96902	19.30827	36.88588	15.42302	8.76434	21.59338	17.87001	24.84699	36.47895	19.23255	13.34056	5.44834	26.68063	27.51673	8.85698	17.28545	33.97127	34.08203	65.67654	32.53359	30.1778	45.39521	27.7179	9.93851	21.35459	17.25573	24.66168	27.97864	16.47269	38.31992	16.43264	12.7689	9.28818	12.45026	11.70931	39.26313	24.08687
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.72176	0.08188	0.06999	0.1682	0.03425	0.84306	0.56362	0.00472	0.05432	0.27072	0.04302	0.17669	0.58787	0.5029	0.64481	0.79797	0.1286	0.06706	3.13985	0.11417	0.0133	2.8922	0.18943	0.17467	0.03888	0.04721	0.47329	0.09358	0.05192	0.12788	0.2944	2.69011	0.22054	0.2378	0.02939	0.05499	0.0656	0.65141	0.09459
k__Bacteria|p__Firmicutes|c__Negativicutes	2.2152	3.8954	0.02339	0.02632	0.00241	0	7.99344	0.21702	0	0.55798	0.28791	0.89491	3.96514	5.71126	0.28913	4.90737	0.44338	0.00165	1.70228	0.00255	0.00073	0.03526	0.50251	0	3.11707	9.11567	1.19014	0.02907	0.0039	5.00698	0.26078	0.08285	0	1.3161	1.51707	1.38645	0.0143	1.44178	5.19502
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0	0.12978	0	0	0	0	0	0	0	0	0.00723	0.07531	0.09097	0	0	0.00125	0	0	0	0	0	0	0	0	0	0	0.26522	0	0	0.16077	0	0.02029	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.36791	0.15498	0.05604	0.32685	0.47347	1.12668	0.00185	0	0.17816	0.00681	0.31868	0	0.31891	1.38908	0.08501	0	0.4617	0.96892	0	0.55285	0.10347	0.05429	0	0	0.58203	0.39011	0	0.00016	0	0.22184	0.12379	0	0.57227	0.25427	0.6076	1.42032	0.04727	2.638	0
