genus	SRR6000869	SRR6000870	SRR6000871	SRR6000873	SRR6000874	SRR6000877	SRR6000878	SRR6000890	SRR6000891	SRR6000892	SRR6000893	SRR6000894	SRR6000895	SRR6000896	SRR6000899	SRR6000900	SRR6000901	SRR6000902	SRR6000903	SRR6000905	SRR6000906	SRR6000907	SRR6000908	SRR6000909	SRR6000910	SRR6000911	SRR6000912	SRR6000920	SRR6000921	SRR6000931	SRR6000932	SRR6000940	SRR6000942	SRR6000943	SRR6000944	SRR6000945	SRR6000946	SRR6000947	SRR6000949
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	0.05577	0.05115	0	0.14363	0.01129	0.33887	0	0.07431	0	0.03676	0.10006	0.10458	0.00554	0.0512	0.08597	0.09755	0.05398	0.30307	0	0.01289	0.04354	0.06721	0.05864	0.06545	0.00667	0.00099	0.44653	1.26977	0	0.01504	0.23593	0.67199	0.45508	0.06388	0.0227	0	0.19116	0.03629	0.01658
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	7.22305	6.3445	1.46344	1.23953	5.13112	0	2.64296	3.99685	6.25448	0.47507	7.98724	2.87253	2.19355	1.51416	0.61145	0	0.64767	2.03433	0	2.76024	6.16224	6.83037	1.91586	0.53848	3.75527	2.24834	4.02282	1.41969	5.75042	8.04369	1.16621	0.13892	0.1234	0.00619	2.40348	0	1.74568	7.2676	5.2036
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_noname	0.0105	0.00191	0	0	0	0	0	0.00365	0	0.00114	0.01655	0.00036	0.01754	0.18499	0	0	0	0.00156	0.08016	0.00101	0.001	0.03148	0.00094	0	0.06926	0.00099	0	0	0.00102	0.00096	0.00109	0.28321	0.26827	0	0.01501	0	0	0	0.21276
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	7.61706	0.27965	0	1.88405	2.96335	0	0	2.52941	1.74259	7.55823	4.64398	0.96138	0.19441	0	5.87985	0	0.52164	1.50779	9.26699	1.73261	2.20755	0	3.15528	7.85297	5.90196	2.4077	0	0.13657	0.39013	0.32299	0	1.72919	0	1.0456	0.30761	0	0	6.02396	3.10382
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	12.00278	3.85731	0.61389	3.34398	0.40496	0.34801	0.3209	3.58196	1.16023	8.2553	8.49133	2.43128	1.14021	0.93472	4.37555	6.17677	0.99923	4.17456	0.36361	3.44362	49.41106	8.17151	1.88447	6.1747	1.54044	1.50899	1.11487	3.00256	4.00353	3.05334	1.74269	16.97621	4.08966	1.332	0.75855	0.03228	3.86195	6.37486	2.31001
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Allobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26169	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	0.54929	0.01568	0.00377	0.04181	0.01093	0.36583	0.12258	0.00366	0	0.01358	0.00068	0.04825	0.32064	0.03949	0.00505	0.59401	0.00395	0	1.51311	0.01892	0	2.26739	0.11713	0.00357	0	0.00277	0.23057	0.00048	0	0.02123	0.11445	0.00389	0.01708	0.06147	0	0.04172	0.01456	0.00024	0.0005
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname	0.15825	0.04024	0.03737	0.0328	0.00743	0.39059	0.43943	0.00106	0.02472	0.16673	0.02588	0.0619	0.19986	0.34459	0.56153	0.20396	0.07517	0.02954	0.04372	0.04956	0	0.5248	0.0723	0.02682	0.00846	0.0354	0.24156	0.01561	0	0.06959	0.0983	2.52141	0.20346	0.08088	0.00159	0.01328	0.04821	0.34721	0.07865
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania	0.01422	0.01114	0.02885	0.09359	0.01589	0.08664	0	0	0.0296	0.09041	0.01646	0.06148	0.05449	0.11882	0.07527	0	0.01399	0.03751	0.0178	0.04568	0.0133	0.08213	0	0.14428	0.02965	0.00904	0.00115	0.07358	0.05192	0.01571	0.08165	0.16482	0	0.09545	0.0278	0	0	0.04227	0.01544
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium	0	0	0	0	0	0	0.00054	0	0	0	0	0.00506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0039	0	0	0	0	0	0	0	0	0.00082	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter	0	0.01483	0	0	0	0	0.00107	0	0	0	0	0	0.01288	0	0.00296	0	0.0355	0	0	0	0	0.01788	0	0	0.00077	0	0	0	0	0.02135	0	0	0	0	0	0	0.00202	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcaceae_unclassified	0	0	0	0	0	0	0.23786	0	0	0	0	0	0	0.09565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03492	0	0	0	0	0	0	0	0.05746
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus	0	1.29588	0	0	0	0	7.63938	0	0	0	0	0	0	5.61419	0	0	0	0	0	0	0	0.0011	0	0	0	2.16001	0	0	0	1.66798	0.22586	0	0	0	0	0	0	0	5.13444
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Phascolarctobacterium	0	0	0	0	0	0	0	0	0	0	0	0	3.81193	0	0	0	0	0	0.16922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.42507	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Anaeroglobus	0	0	0	0	0	0	0.10708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01768	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister	2.19451	2.16964	0	0	0	0	0	0	0	0.55613	0	0.32016	0	0	0	0	0.44325	0	0	0	0	0	0.43523	0	3.07764	0	1.17926	0	0	2.78321	0	0.08285	0	1.07046	1.51258	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.95257	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera	0	0	0	0	0	0	0	0	0	0	0	0.00076	0	0	0	0.00187	0	0	1.51797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella	0.0207	0.42988	0.02339	0.02632	0.00241	0	0.00912	0.21702	0	0.00185	0.28791	0.574	0.15321	0.00143	0.28913	4.9055	0.00013	0.00165	0.01509	0.00255	0.00073	0.03416	0.06728	0	0.03943	0.00309	0.01088	0.01139	0.0039	0.5558	0	0	0	0.24565	0.00449	1.38645	0.0143	0.01671	0.00313
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium	0	0.11632	0	0	0	0	0	0	0	0	0.00723	0.07531	0.09097	0	0	0.00125	0	0	0	0	0	0	0	0	0	0	0.26522	0	0	0.15611	0	0.02029	0	0	0	0	0	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia	0	0.00142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00466	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichiaceae_unclassified	0	0.01204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname	0.14293	0	0	0	0.26313	1.10053	0	0	0.17783	0	0.05751	0	0.1258	0.65527	0	0	0.04701	0	0	0.24199	0.05738	0.01126	0	0	0.17622	0	0	0.00016	0	0.00334	0.01278	0	0.09147	0.25427	0.23045	0.60252	0	0.01157	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Oxalobacter	0.06668	0.01277	0	0.01916	0	0.02384	0	0	0	0	0.1634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01236	0	0	0	0.03202	0.03068	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella	0.1583	0.00717	0	0.001	0.21034	0.00231	0	0	0.00034	0.00383	0.09777	0	0.18283	0.73381	0	0	0.41469	0	0	0.31086	0.0461	0.04303	0	0	0.40581	0.00484	0	0	0	0.01672	0.08033	0	0.4808	0	0.37715	0.8178	0	0.03549	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella	0	0.03224	0	0.08547	0	0	0	0	0	0	0	0	0	0	0.08501	0	0	0.96892	0	0	0	0	0	0	0	0.21546	0	0	0	0.03943	0	0	0	0	0	0	0.04727	2.59094	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterellaceae_unclassified	0	0.1028	0.05604	0.22122	0	0	0.00185	0	0	0.00299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15745	0	0	0	0.13033	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria	0	0	0	0	0	0	0	0	0	0	0	0	0.01028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila	0.50003	0.15636	0	0.16973	0	0	1.23006	0.7568	0.85418	0.1361	0.03573	0.94059	0.36461	0	0.45646	0	1.38635	0	0	0.58113	0.02258	7.805	0	0.31986	0.59439	0.51715	0	2.56135	0	0.15415	1.04193	0	0	0	0.23191	0.88694	0.5656	0.10058	0.00401
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	0	0	0	0.1171	0	0.27782	0	0	0	0	0.08089	0.19453	0	0	0	0	0	0	0	0	0	0.12156	0	0.17147	0	0.07241	0	0	0.36668	0	0.62385	0.87735	0.01805	0.23361	0	0	0.29273	0	0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter	0	0.00654	0	0	0	0	0	0	0	0	0	0.00506	0.00604	0	0	0.26621	0	0.00045	0	0	0	0	0	0	0	0	0	0.00093	0	0.00801	0	0	0	0	0	0	0	0	0.00287
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas	0	0.10205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07833	0	0	0.1368	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae|g__Cardiobacterium	0	0	0	0	0	0	0	0	0	0	0	0.00338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter	0	0	0	0	0	0	0	0.17424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02182	0	0	0	0	0.0513	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter	0	0.22122	0	0	0	0.00243	0.5794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00071	0	0	0	0	0	0	0	0.32356	0	0	0	0	0	0	0.00257	0	0.13354
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	0.03314	6.98733	0	0.1478	7.73176	0.01901	0.75372	0.90908	0	0.20153	6.02658	15.74271	1.66309	0	0.10699	0.75791	8.76309	0	7.41891	0.2076	0.00217	0.38541	1.60788	0.05213	0.00982	0.02088	9.08297	8.33141	0.34994	9.367	0	3.13639	0.00424	32.69686	0.01814	7.26703	0.37447	2.3814	0.00734
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella	0	0.14422	0	0	0	0	0.08157	0	0	0.00589	0	0	0.05013	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58727	0.00367	0	0.13209	0	0	0	0.07984	0	0.58859	0.02918	0.05209	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Morganella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05003	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Proteus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00387	0	0	0	0	0	0.01459	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Serratia	0	0	0	0.01727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Shigella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00676	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	0.01897	0.1482	0	0.00449	0	0	0.01653	0.08603	0	0	0.6905	0.14333	0.06815	0.00141	0	0.24727	0	0	0.00095	0.00439	0	0	0.12778	0	0.28764	0.00479	0.00245	0.01343	0	0.19714	0	0	0	0	0.00775	0.00517	0.00029	0	0.00092
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas	0	0	0	0	0	0	0	0	0	0.0057	0	0	0	0	0	0	0	0	0	0	0	0	0.03166	0	0	0.00363	0	0	0	0	0	0	0	0.00119	0	0	0	0	0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Pyramidobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.09749	0	0	0	0	3.81219	0	0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Synergistes	0	0	0	0.16314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37152	1.21871	0.13136	0	0	0	2.46571	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	0.09222	0.04382	0.001	2.59555	0.0131	4.93504	0.68408	0	0.12218	36.54526	4.31172	2.04481	0.00642	0.00227	7.00009	0	21.98923	0	0.00066	13.31134	3.03458	1.03406	0	0.42567	0	2.68429	0.00365	2.67934	0.17681	0.00564	11.10643	0	1.26092	0.37382	0.02139	0	6.3706	0.17154	0.53132
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillaceae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Naumovozyma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00069	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomycetaceae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00108	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae|g__PhiCD119likevirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Podoviridae|g__Epsilon15likevirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00375	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__C2likevirus	0.00187	0.00932	0	0	0	0	0	0.00575	0	0	0.00703	0.00321	0	0	0.00637	0	0	0.00353	0.00101	0	0	0	0	0	0.29787	0.02089	0	0.00498	0	0.00258	0.01572	0	1.4314	0	0	0.00919	0	0.00788	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname	0	0	0	0	0	0	0	0.50962	0	0	0	0	0	0	0	0.02677	0	11.21832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.51582	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Tunalikevirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.45517	0	0	0
