genus	SRR6000869	SRR6000870	SRR6000871	SRR6000873	SRR6000874	SRR6000877	SRR6000878	SRR6000890	SRR6000891	SRR6000892	SRR6000893	SRR6000894	SRR6000895	SRR6000896	SRR6000899	SRR6000900	SRR6000901	SRR6000902	SRR6000903	SRR6000905	SRR6000906	SRR6000907	SRR6000908	SRR6000909	SRR6000910	SRR6000911	SRR6000912	SRR6000920	SRR6000921	SRR6000931	SRR6000932	SRR6000940	SRR6000942	SRR6000943	SRR6000944	SRR6000945	SRR6000946	SRR6000947	SRR6000949
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter	0	0	0	0.00411	0.00202	0.07273	0	0.01377	0	0.00228	0	0.00836	0.00106	0	0.01916	0.01098	0.00529	0	0.0483	0.05912	0.0037	0.00875	0	0.08861	0.01739	0.00212	0	0.03195	0	0	0.00793	0.00546	0.03093	0.00328	0.00411	0	0.03504	0.01102	0.00486
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00067	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia	0	0	0	0	0	0	0	0	0	0	0	0.00046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	49.25312	44.62497	87.31673	33.93612	35.93194	39.06413	43.93642	57.70843	47.539	16.02209	20.6802	30.64014	59.67203	71.20939	46.63989	51.69151	37.7578	46.02253	14.20193	17.78149	12.16665	28.0786	54.16069	42.50525	57.71978	62.83948	32.03217	44.51988	56.14632	41.67242	31.68607	23.87288	69.12818	45.8351	62.06597	73.21428	13.26491	17.98174	14.85661
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname	0	0.58426	0	0	0	0	0	0	0.07606	0.67327	1.51597	0	0.0093	0	0	0	0	0	0	0	1.86201	0.0091	0.22777	0.48566	0	0.14123	0	0	2.14425	0.774	0.21343	0	0	0	0.95241	0	0	3.46663	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	0	1.50384	0	0	0	0	0	0	0.7774	3.92514	5.34209	0	2.34915	0	0	0	0	0	0	0	2.71092	2.79716	4.07635	0	0	0	0	0	5.08671	1.95791	3.23586	0	0	0	0	0	1.67642	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Butyricimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00106	0	0	0	0	0	0	0	0.00661	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Coprobacter	0	0.00386	0.07119	0	0	0	0	0	0.24413	0	0	0	0.71664	1.88787	0	0	0	0	0.05589	0	0	0	0	0	0	0	0	0	0	0.00829	0.44589	0.00182	0	0	0.93478	0	0.01353	0.23869	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	0	1.11932	0	0.74322	0	0.03056	0	2.67348	1.38834	0.41588	1.8998	1.64567	1.4154	0	0.14965	0	0	0	0	2.20445	0.41767	0	1.10182	0.31072	1.25391	1.41899	0	0.52624	1.7853	1.27865	0.5763	0.73083	1.10909	0	1.27251	0	0.79985	1.28516	1.47514
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	2.60581	2.74288	3.32522	1.87899	8.55722	22.33632	5.39391	10.53661	11.15214	3.27345	3.42557	3.14027	11.62443	5.93553	4.32564	11.35457	10.26554	9.33535	1.04469	12.54705	2.79219	5.52058	3.33484	0.62196	4.44873	7.4618	26.75341	13.90511	4.60074	2.06141	6.41244	3.04328	3.11966	0.00115	6.42334	0	2.30869	5.15069	4.33879
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	0	0	0	0.00044	0	0	0.00032	0	0	0	0	0	0.02143	0	0.00092	0.00011	0	0	0.01506	0	0.00993	0	0.01208	0	0	0	0	0.01243	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella	0	0	5.92868	0	0	0	0	0	8.53658	0	1.49744	0	0	0	3.93816	0	0	0	0	0	0	0	0	0	0	0	7.89683	0	0	0	0	0	0	0	0	0	0.53071	11.48353	2.77086
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	0.00202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00171	0	0.04353	1.89949	0.00946	0	0	0.01101	0	0	0.00457	0.01313	0	0.00208	0	0	0	0.00249	0	0	0	0	36.39219
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	5.86061	10.94197	0.16665	34.12095	7.82962	15.83191	26.13538	2.86548	10.5557	10.29302	12.20872	16.21044	2.55852	7.61937	8.04284	0.00395	0	14.40162	0.43927	12.56803	10.60644	4.18434	3.50837	4.96198	0.82413	4.58493	0.1169	5.23834	4.39115	6.01252	23.72411	18.73752	2.95089	3.54898	16.51137	0	25.85923	8.54777	7.65613
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname|g__Candidatus_Saccharibacteria_noname	0	0	0	0	0	0	0	0	0	0	0	0.00162	0	0	0	0	0.00033	0	0	0	0	0	0	0	0	0	0	0.00055	0	0	0	0	0.00255	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname|g__Candidatus_Saccharibacteria_noname_unclassified	0	0	0	0	0	0	0	0	0	0	0	0.00555	0	0	0	0	0.0019	0	0	0	0	0.00181	0	0	0	0	0	0.00167	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella	0	0	0	0	0	0	0	0	0	0.00061	0.00184	0.12282	0	0	0.00344	0	0	0	0.02209	0	0	0.00449	0	0.01094	0.00209	0	0.00078	0.00185	0	0	0	0	0	0	0	0	0.0053	0	0.00239
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	0	0	0	0	0	0	0	0	0	0	0	0.00115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia	0	0	0	0	0	0	0	0	0	0.00074	0	0	0	0	0	0.00444	0	0	0.00094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella	0.00105	0	0	0.01626	0	0	0	0.0102	0	0.0006	0.00412	0.04998	0	0	0.00126	0.00245	0	0	0.01091	0	0	0.0181	0	0.00712	0.00274	0	0	0.02168	0	0	0	0	0	0	0	0.00131	0.00454	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	0	0.18616	0	0	0	0	0	0	0	0	0	0.01829	0	0	0.00102	0.09962	0.028	0	0.49667	0	0.02867	0.00606	0	0	0	0.00402	0	0	0	0.21099	0	0	0	0.00378	0	0.02631	8.03244	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	0.00123	0.20477	0	0.01136	0.01138	0	0.01717	0	0	0	0.03254	0	0	0	0.04292	0.01648	0	0.23707	0.8554	0	0	0.31226	0	0.1274	0.0093	0	0	0	0	0.2805	0	0.01025	0.12992	0.05229	0	0.00896	1.19627	0.06324	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus	0	0	0.00091	0.00684	0	0	0	0	0	0	0	0	0	0	0	0	0.02778	0	0.04236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc	0	0	0	0.10427	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00026	0	0	0	0	0	0	0	0	0	0.0011	0	0	0	0.0211	0	0	0	0	0.24357	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella	0	0	0	0.01201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08362	0	0	0	0	1.16613	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus	0.00894	0	0	0	0.00125	0	0.00271	0.0019	0	0	0	0.01143	0	0	0.03271	0	0.01416	0.00581	0.00529	0	0.00802	0.12177	0	0	0.01601	0	0	0.03825	0	0.00084	0	0.00982	0.01079	0	0	0.00417	0.01829	0.07957	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	0.17038	0.2543	0.07118	2.54258	0.07842	0.03728	0.66176	0.61283	0.58422	0.23353	4.90268	6.095	0.01003	0.02059	0.24943	0.16279	0.0246	0.2194	2.35853	0.05271	0.03442	11.24397	0.23446	0.6708	1.18786	0.02687	0.01554	2.26315	0.01997	0.27101	0.13919	2.48951	2.29972	0.08818	0.01556	0.1495	11.30791	0.11407	0.0375
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Butyricicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0534	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridiaceae_noname	0.01943	0.00677	0.02007	0	0	0.02787	0	0	0.004	0.00751	0	0	0.0048	0.00142	0.00672	0	0	0.00974	0	0	0	0.00418	0.21919	0.05626	0.02595	0	0	0	0.00583	0	0.12645	0.06981	0	0.05703	0.07176	0	0	0.02559	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	1.0649	0.42749	0.2701	0.1659	0.10129	9.41769	0.1191	1.59664	1.1717	0.56931	0.00877	1.86653	0.46084	0.33707	0.09808	4.95465	0.68035	0.53199	3.99051	0.44694	0.00964	8.04203	1.16475	0.56683	0.18832	0.4279	1.4631	3.40132	0	0.35735	0.60809	2.14652	0.52735	1.02682	0.12581	1.76346	0.26253	0.01122	0.11214
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00035	0	0	0.00031	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified	0	0	0	0	0	0	0.00269	0	0	0	0	0.0206	0	0	0	0	0.00093	0	0.00826	0	0	0.00614	0	0.00399	0.00235	0	0	0.00173	0	0	0	0	0	0	0	0	0.00301	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Anaerococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00106
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Finegoldia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Parvimonas	0	0	0	0	0	0	0.01164	0	0	0	0.0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00136	0	0	0.00283	0	0	0	0.00048	0	0	0	0	0	0	0.01448
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Peptoniphilus	0	0	0	0	0	0	0.00278	0	0	0	0	0	0	0	0	0	0	0	0.05869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname	0.01061	0.00411	0	0	0.00556	0.02648	0.01563	0.02042	0.00941	0.00239	0	0.00921	0.00184	0.00191	0	0.08571	0.0277	0.0062	0	0.0058	0	0.04032	0.0546	0.00439	0.00967	0.01039	0.00195	0.02897	0	0.00169	0.01885	0.00303	0	0.0059	0.00394	0.03716	0.00688	0	0.00876
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Flavonifractor	0.00061	0.00026	0.01983	0.07172	0.01055	0.00259	0.02735	0.02146	0.41816	0.01162	0	0.03854	0.00469	0.30018	0.12239	0	0	0.01568	0	0.10416	0.00332	0.09474	0.09185	0.03038	0.01824	0.00297	0.00065	0.53576	0.0128	0	0.05571	0.17923	0.14079	0.02809	0.00273	0	0.00625	0.00052	0.02447
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Pseudoflavonifractor	0.00068	0.00525	0	0.00037	0	0	0.00272	0	0.00098	0.07513	0.00797	0	0.00163	0	0	0	0	0.00026	0	0.00805	0.00131	0	0.0204	0.00039	0	0	0	0	0.04108	0.00626	0.00142	0.0156	0.00252	0	0.00052	0	0.00229	0	0.00344
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Anaerofustis	0.02559	0	0	0.00774	0	0.0135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04024	0	0.01578	0	0	0	0	0	0	0.02131	0.08494	0.01608	0.00034	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	4.81526	8.28536	0.02144	2.11087	17.49412	0.00292	0	2.64108	3.67305	4.10022	11.90797	6.1508	3.94157	0.00927	0.91859	0.00136	2.73861	2.91276	12.09514	10.2627	1.97132	0.5306	15.50759	15.80426	10.04739	0.93258	1.06417	2.16975	11.03032	10.96681	5.69569	10.731	3.58722	1.63613	3.66347	0	2.38349	11.51824	4.36095
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	0.03289	0.00531	0	0.02309	0.47184	0.14043	0.01346	0	0	0.28765	0.00505	0.00324	0.10643	0.01658	0.01236	0.57928	0.02303	0.10082	0.02487	0.03946	0.03314	0.37916	0.006	0.44251	0.00414	0	0.00156	0.00303	0.05287	0.00876	0.30179	0	0.02811	0.11193	0.03425	0.00788	0	0.05929	0.0767
