kegglevel3	SRR5367473	SRR5367482	SRR5367490	SRR5367491	SRR5367527.R1	SRR5367535.R1	SRR5367537.R1	SRR5367522.R1	SRR5367525.R1	SRR5367532.R1	SRR5367463	SRR5367536.R1	SRR5367465	SRR5367468	SRR5367467	SRR5367469	SRR5367466	SRR5367471	SRR5367477	SRR5367475	SRR5367470	SRR5367479	SRR5367480	SRR5367478	SRR5367487	SRR5367497	SRR5367508.R1	SRR5367526.R1	SRR5367524.R1	SRR5367534.R1	SRR5367539.R1	SRR5367492	SRR5367472	SRR5367500	SRR5367495	SRR5367506.R1	SRR5367514.R1	SRR5367540.R1	SRR5367543.R1	SRR5367519.R1	SRR5367513.R1	SRR5367531.R1	SRR5367464	SRR5367462	SRR5367518.R1	SRR5367517.R1	SRR5367520.R1	SRR5367530.R1	SRR5367533.R1	SRR5367516.R1	SRR5367529.R1	SRR5367496	SRR5367515.R1	SRR5367538.R1	SRR5367510.R1	SRR5367505.R1	SRR5367512.R1	SRR5367542.R1	SRR5367494	SRR5367498	SRR5367504.R1	SRR5367528.R1	SRR5367502.R1	SRR5367503.R1	SRR5367485	SRR5367523.R1	SRR5367489	SRR5367486	SRR5367474	SRR5367476	SRR5367483	SRR5367488	SRR5367493	SRR5367509.R1	SRR5367507.R1	SRR5367521.R1	SRR5367541.R1	SRR5367499	SRR5367484	SRR5367481	SRR5367511.R1	SRR5367501	SRR5367544.R1
Human_Diseases;Infectious_Diseases;Amoebiasis	6.66465492823e-05	9.04573744459e-05	0.000153423096856	9.57584196237e-05	0.000170872579894	0.00011774287558	0.000122267486894	0.000134801874944	0.000210345063739	0.00010422496602	0.000104238979442	0.000124272877228	0.000119203472749	0.000160068674625	0.000123681295445	0.000143572184828	0.000122840732895	0.000148283370289	8.63879603803e-05	5.49623266999e-05	0.000172518387787	0.000155687008031	0.00012077973329	0.000111725905554	0.000126128206115	0.000125384593127	0.000127545788657	0.0001991923655	0.000121020918639	8.38045212175e-05	0.000133735654761	7.91260989649e-05	9.13350830151e-05	3.99402892675e-05	0.000122149698208	5.24191024598e-05	0.000119770848064	0.000159413037161	8.42549449315e-05	0.000107871748197	0.000213865843133	0.000100276308807	0.000140531147293	7.66638371116e-05	0.00010733099931	0.000109991590226	0.000105845240398	0.000113974873721	0.00012128655283	0.000145095350405	8.99870432718e-05	0.000110535773396	0.000105220522566	0.000105471760934	7.65019325053e-05	5.06374219926e-05	0.000192096811976	0.000167254651041	0.00014258423195	0.000126874776016	4.21430334555e-05	6.00561756227e-05	3.52255846441e-05	7.05914964795e-05	8.48655250409e-05	0.000189806607292	0.000109036001432	0.000107032381276	4.15369070996e-05	3.48993922373e-05	8.46954276413e-05	0.00010008246231	0.000364863968393	0.000148983333394	0.000129023895582	0.000119866560314	0.00021084509349	4.00289472492e-05	0.000121059573921	0.000103540227076	0.000160099290936	2.88543329398e-05	0.000296623928249
Human_Diseases;Infectious_Diseases;Bacterial_invasion_of_epithelial_cells	0.0	0.0	7.3408180314e-07	3.23508174405e-06	2.11825512265e-06	0.0	0.0	2.24669791574e-06	6.98820809766e-07	7.13869630273e-07	7.23881801684e-07	1.44503345614e-06	2.68724591745e-05	1.29087640827e-06	2.70046496606e-06	0.0	1.02367277413e-05	6.9147685627e-06	1.37796746619e-05	4.43555618982e-05	4.85967289542e-06	7.44913914024e-06	1.93764278005e-06	6.03923813803e-06	7.12588735112e-07	2.89349061062e-06	5.61875720957e-06	1.44867174909e-06	4.14928863904e-06	0.0	0.0	5.60736134397e-06	1.39119662871e-05	9.98507231689e-07	2.7296021946e-06	3.91187331789e-06	0.0	0.0	0.000240477655325	0.0	3.46061234843e-06	0.0	7.55543802652e-07	3.0912837545e-06	0.0	0.0	6.30031192844e-07	7.40096582604e-07	7.62808508366e-07	1.89667124713e-06	0.000102641471232	2.36440156996e-06	0.0	0.0	1.91254831263e-05	2.34432509225e-05	1.20436872712e-06	4.37584842839e-06	5.04722944957e-06	9.46826686689e-07	1.30442722601e-05	0.0	5.03222637772e-06	2.49652853403e-05	1.47592217462e-06	0.0	0.0	3.18443448424e-05	1.24610721299e-05	2.05290542573e-06	0.0	4.93364250826e-06	2.76412097268e-06	9.40186084523e-06	5.94580163973e-07	1.85088071074e-05	9.41272738796e-06	0.0	1.09289893123e-05	0.0	0.0	1.15417331759e-06	2.36948108364e-05
Human_Diseases;Infectious_Diseases;Chagas_disease_American_trypanosomiasis	1.20334047315e-05	1.56862499039e-06	7.19400167077e-05	2.78217029988e-05	2.82434016353e-06	3.25256562376e-05	1.25572013567e-05	1.49779861049e-05	9.78349133672e-06	2.14160889082e-05	5.06717261179e-06	3.61258364034e-06	3.03176462482e-05	1.09724494703e-05	2.70046496606e-05	0.0	2.59330436112e-05	1.15246142712e-05	7.57882106403e-05	3.18202944052e-05	4.04972741285e-06	0.000121420967986	4.58575457946e-05	2.41569525521e-05	1.42517747022e-06	9.16272026697e-06	1.17993901401e-05	1.73840609891e-05	1.10647697041e-05	5.90275323358e-05	2.57183951464e-06	4.23667301545e-05	3.62920859663e-05	1.99701446338e-06	8.1888065838e-06	3.12949865432e-06	7.21511132917e-07	1.27799481269e-05	3.42285713784e-05	6.42093739265e-06	1.17660819847e-05	0.0	1.5110876053e-06	1.17468782671e-05	8.76171422939e-06	7.63830487683e-06	3.78018715707e-06	9.62125557385e-06	0.0	1.89667124713e-06	1.61695468379e-05	3.54660235494e-06	0.0	2.28047050667e-06	1.49677694032e-05	2.53187109963e-05	6.0218436356e-06	6.32066995212e-06	1.26180736239e-05	4.73413343344e-07	1.80613000524e-05	4.61970581713e-06	6.03867165327e-06	3.44348763314e-05	2.95184434925e-06	1.55579186305e-06	3.23348142177e-05	1.76913026902e-05	3.11526803247e-06	1.74496961187e-05	2.17167763183e-06	3.31258854126e-05	4.60686828779e-06	5.78576052014e-06	1.18916032795e-06	1.76274353404e-05	1.25503031839e-05	0.0	5.88484039892e-06	1.69738077173e-06	1.10160062571e-05	3.46251995277e-06	4.47568649133e-05
Human_Diseases;Infectious_Diseases;Epithelial_cell_signaling_in_Helicobacter_pylori_infection	0.00108763465843	0.00100235136886	0.000884568572783	0.000863119809311	0.000934856594128	0.000949098649014	0.000927911089727	0.000921895044758	0.00098393970015	0.000973004306062	0.000945389632999	0.000908203527182	0.000908151312616	0.000892641036316	0.000925179297371	0.000996159614165	0.000893325107554	0.000915822680748	0.00087129942862	0.000976786613106	0.000940346705263	0.000778435040155	0.000822852300596	0.000896826863498	0.00098551022066	0.000999218757535	0.00100912879484	0.000942360972783	0.000989605340411	0.000860635996155	0.00094579398151	0.000915869019515	0.000965369486703	0.00110035496932	0.000921240740678	0.000834793766039	0.000604626329384	0.000941007759446	0.000643321610779	0.000990750639686	0.000912217415047	0.000871013193288	0.00101393978316	0.000957061450393	0.000917789565528	0.000952496618141	0.000995449284694	0.000919199955594	0.000990888252368	0.000842122033725	0.000834489221591	0.000939258523668	0.000955858723067	0.000942404436883	0.000738409957225	0.00102118801018	0.000917126785702	0.000969493529579	0.000929952026084	0.00101310455476	0.0010605996753	0.000926251016335	0.00110004468617	0.000968480896822	0.000940162425235	0.000889912945666	0.000940717502008	0.000897833611529	0.0011163043783	0.00111267474074	0.000984312886626	0.000997300592742	0.000820022555227	0.000938016424328	0.000988786812688	0.000828489460997	0.000896091647334	0.00114503857	0.000955025527597	0.000994665132234	0.000846029280545	0.0011287815046	0.000745070162968
Human_Diseases;Infectious_Diseases;Hepatitis_C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Human_Diseases;Infectious_Diseases;Influenza_A	0.0	5.22874996797e-07	0.0	0.0	1.27095307359e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.57941156205e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.12375144191e-06	0.0	0.0	7.28734967109e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.000212124273078	0.0	0.0	1.28418747853e-06	0.0	5.34319017731e-05	1.5110876053e-06	0.0	2.9205714098e-06	1.52766097537e-06	0.0	6.66086924344e-05	1.29677446422e-05	0.0	2.81209510224e-06	0.0	1.07755956844e-05	0.0	0.0	0.0	7.22621236272e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03842267749e-06	0.0	2.17167763183e-06	1.83249578878e-05	0.0	0.0	6.54038180371e-06	2.37970377095e-05	0.0	0.0	0.0	1.13158718115e-06	6.3158435874e-05	0.0	0.0
Human_Diseases;Infectious_Diseases;Leishmaniasis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Human_Diseases;Infectious_Diseases;Measles	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Human_Diseases;Infectious_Diseases;Pathogenic_Escherichia_coli_infection	0.0	0.0	0.0	6.47016348809e-06	3.53042520441e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.23668435196e-05	0.0	5.40092993212e-06	0.0	1.36489703217e-05	7.68307618077e-06	2.17294869668e-05	0.0	8.0994548257e-06	1.48982782805e-05	3.22940463342e-06	9.05885720705e-06	0.0	0.0	2.80937860478e-06	0.0	3.45774053253e-06	0.0	0.0	0.0	6.04868099438e-06	0.0	3.41200274325e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.95550196245e-06	0.0	0.0	4.15771372312e-06	4.6886501845e-06	3.0109218178e-06	2.43102690466e-06	0.0	0.0	1.00340555847e-05	0.0	5.03222637772e-06	1.72174381657e-05	3.68980543656e-06	0.0	0.0	6.28041245503e-05	0.0	0.0	0.0	1.05720910891e-05	0.0	3.61610032509e-06	0.0	8.81371767018e-06	6.27515159197e-06	0.0	1.26103722834e-05	0.0	0.0	0.0	1.84292973172e-05
Human_Diseases;Infectious_Diseases;Pertussis	8.7936419192e-05	0.000170457248956	0.000190127187013	0.000362976171682	0.00017581517518	0.000208164199921	0.000200915221707	0.000334757989445	9.08467052695e-05	0.000360504163288	0.000262769094011	0.000239153036991	0.000483015227727	0.000164586742054	0.000315414308036	0.000125200388666	0.00050364700487	0.000483265491771	0.000135676796671	0.000311453184633	0.000288340591795	0.000343405314365	0.000287417012374	0.00036054251684	0.000272921485548	4.87070919455e-05	0.000180362106427	0.00045415859334	0.000168737737988	0.000190928561382	8.42277441045e-05	0.000738925617106	0.000384696111243	9.68552014738e-05	0.000175376941003	0.000243318520373	0.000261908541249	8.74417503417e-05	3.07179486729e-05	9.88824358468e-05	0.000325297560753	0.000164687368479	0.000118620377016	0.000315310942959	0.000166472570358	0.000159640571926	0.000104585178012	0.000316761337355	0.000106030382663	0.000531067949196	4.71025929626e-05	0.000134770889488	7.3527594082e-05	6.67037623202e-05	0.000387498918994	0.00038728250524	0.000234851901789	0.000274706040227	0.000118609892065	2.55643205406e-05	0.000270919500786	0.000220975928253	0.000123792768892	0.000433879441776	0.000309943656671	0.000415396427435	0.000224087782253	0.00048827995425	9.13811956191e-05	0.000158073717781	0.000140616126661	0.000374252024555	0.000555588315508	0.000272653964512	0.000140320918698	0.00042570256347	0.000488834309015	7.26841410578e-05	0.000316940690056	0.000114290305297	0.000216648123056	0.000150042531287	0.00137254385734
